N	2gram	Tiupa_Anal_3	Problemy
1	и в	18	35
2	как бы	10	31
3	и не	12	27
4	что он	4	24
5	в его	7	21
6	но в	2	19
7	не может	2	18
8	как и	14	18
9	себе самому	2	18
10	о себе	2	17
11	в нем	2	16
12	то есть	10	16
13	то же	3	15
14	с самим	2	15
15	и все	2	15
16	но и	13	14
17	для него	6	14
18	может быть	9	14
19	все это	3	14
20	в сущности	5	14
21	и его	13	14
22	в этом	14	14
23	он не	6	13
24	прежде всего	5	12
25	и к	4	12
26	в пределах	4	11
27	в то	3	11
28	не в	6	10
29	самом деле	2	10
30	же время	3	10
31	не только	22	10
32	то что	2	10
33	героя и	4	10
34	так и	14	8
35	все же	4	8
36	и для	2	8
37	и сам	4	7
38	лишь в	5	7
39	а в	10	7
40	точки зрения	3	7
41	с его	8	7
42	еще не	6	7
43	отношению к	7	7
44	там где	2	7
45	таким образом	4	7
46	что в	9	6
47	в каждом	3	6
48	к тому	6	6
49	что они	3	6
50	в самом	5	6
51	и на	4	6
52	в одном	4	6
53	но не	7	6
54	и т.п	5	6
55	в слове	5	6
56	по отношению	7	6
57	на меня	2	6
58	только в	2	6
59	в конце	5	5
60	в том	9	5
61	да и	2	5
62	в глаза	2	5
63	как к	2	5
64	и даже	8	5
65	он и	3	5
66	этого слова	2	5
67	даже в	2	5
68	как в	3	5
69	в себе	2	5
70	никогда не	5	4
71	с другой	7	4
72	или иной	5	4
73	в мире	5	4
74	его за	2	4
75	на его	2	4
76	всяком случае	2	4
77	и вот	2	4
78	между тем	5	4
79	той или	3	4
80	но как	3	4
81	его в	3	4
82	как раз	7	4
83	в них	2	4
84	по себе	4	4
85	во всем	3	4
86	по своему	2	4
87	и прежде	2	4
88	в той	2	4
89	а не	9	4
90	что не	3	4
91	и без	3	4
92	во всяком	2	4
93	тем что	2	4
94	я в	5	4
95	уже в	3	3
96	и от	2	3
97	тому же	3	3
98	о своей	2	3
99	в общем	2	3
100	которого он	2	3
101	с ее	3	3
102	в целом	3	3
103	другой стороны	5	3
104	в форме	2	3
105	все эти	2	3
106	не мог	2	3
107	это не	2	3
108	сказать что	2	3
109	нуждается в	2	3
110	говорить о	3	3
111	в начале	6	3
112	с тем	2	3
113	не как	2	3
114	с этим	3	3
115	в ее	3	3
116	это и	2	3
117	том что	12	3
118	было бы	3	3
119	со всеми	2	3
120	во всех	2	3
121	что и	5	3
122	когда он	2	3
123	сводится к	2	3
124	уже не	5	3
125	и т.д	2	3
126	ничего не	3	3
127	так сказать	2	2
128	не менее	4	2
129	столь же	4	2
130	в дальнейшем	2	2
131	в большинстве	2	2
132	при этом	11	2
133	например в	2	2
134	хотя и	2	2
135	в своем	4	2
136	те же	2	2
137	и по	2	2
138	тому как	2	2
139	в ней	2	2
140	по своей	2	2
141	о том	6	2
142	в первом	2	2
143	в произведении	3	2
144	я и	3	2
145	к третьему	2	2
146	однако в	5	2
147	в жизни	2	2
148	и того	3	2
149	то в	2	2
150	слове о	2	2
151	себя в	4	2
152	своего рода	8	2
153	вместе с	2	2
154	бы и	2	2
155	говорит о	2	2
156	приводит к	4	2
157	так в	3	2
158	в отличие	2	2
159	жизнь и	3	2
160	и он	2	2
161	и как	4	2
162	с точки	2	2
163	той же	5	2
164	без исключения	3	2
165	не случайно	8	2
166	пока еще	3	2
167	мы можем	2	2
168	вступает в	3	2
169	подобно тому	3	2
170	отличие от	2	2
