N	2gram	Tiupa_Teor_1	Myshleni
1	в том	16	28
2	и в	18	28
3	то что	3	28
4	в этом	8	27
5	того что	4	24
6	потому что	3	22
7	не может	4	19
8	том что	9	19
9	таким образом	3	18
10	только в	6	18
11	что в	9	17
12	не только	16	16
13	так же	2	15
14	может быть	17	13
15	сказать что	3	13
16	точки зрения	9	13
17	тому что	2	11
18	и не	13	11
19	как бы	5	11
20	в отношении	3	10
21	к тому	2	10
22	но и	9	10
23	по отношению	4	10
24	но не	9	10
25	отношению к	4	10
26	с точки	3	10
27	могли бы	2	9
28	между собой	3	9
29	никогда не	4	8
30	в самом	4	8
31	еще не	4	8
32	тем самым	4	8
33	того же	3	7
34	если бы	3	7
35	в нем	4	7
36	в своем	4	7
37	мышления и	2	7
38	заключается в	2	7
39	отношение к	5	7
40	он не	3	7
41	вместе с	2	7
42	то же	7	7
43	между ними	4	7
44	в которой	2	7
45	и к	3	6
46	и как	2	6
47	и что	3	6
48	для него	2	6
49	в то	6	6
50	его в	2	6
51	как и	4	6
52	можно сказать	3	6
53	так и	10	6
54	приводит к	5	6
55	как раз	2	6
56	в области	4	6
57	не могут	2	5
58	это не	2	5
59	в пределах	5	5
60	и тем	3	5
61	но в	9	5
62	речи и	2	5
63	то в	2	5
64	могут быть	4	5
65	в этой	3	5
66	я не	2	4
67	именно в	3	4
68	в частности	16	4
69	в нашем	4	4
70	не в	7	4
71	совпадает с	3	4
72	к жизни	2	4
73	самом начале	2	4
74	на основе	2	4
75	в первом	2	4
76	мы имеем	7	4
77	он должен	2	4
78	в качестве	24	4
79	одного и	3	4
80	своей природе	2	4
81	что и	2	4
82	и того	3	4
83	в той	2	4
84	и то	2	4
85	в себе	9	4
86	из этих	3	3
87	в ходе	4	3
88	как это	8	3
89	всякий раз	2	3
90	есть в	2	3
91	отличается от	2	3
92	при этом	12	3
93	мог бы	3	3
94	хотя и	3	3
95	в целом	3	3
96	в их	2	3
97	во втором	3	3
98	и по	2	3
99	в основе	3	3
100	и здесь	2	3
101	по своей	3	3
102	с его	5	3
103	и составляет	3	3
104	только не	2	3
105	в них	2	3
106	на фоне	2	3
107	иначе говоря	4	3
108	один из	2	3
109	в его	6	3
110	как в	5	3
111	в себя	3	3
112	до известной	2	3
113	а не	9	3
114	и его	8	3
115	представляет собой	9	3
116	не знает	3	3
117	и т.д	3	3
118	отношении к	2	3
119	отношения к	2	3
120	не менее	4	2
121	казалось бы	2	2
122	и другие	2	2
123	из которого	3	2
124	в этих	3	2
125	с другой	7	2
126	в конце	2	2
127	была бы	3	2
128	прежде всего	2	2
129	а только	3	2
130	имеем дело	2	2
131	имеет место	2	2
132	одним из	2	2
133	известной степени	3	2
134	и является	2	2
135	могут оказаться	2	2
136	во второй	7	2
137	если мы	2	2
138	все это	2	2
139	другой стороны	5	2
140	принадлежит к	3	2
141	все эти	2	2
142	у одного	2	2
143	для возникновения	3	2
144	но он	3	2
145	к его	2	2
146	понятие о	2	2
147	между двумя	3	2
148	состоит в	17	2
149	языка в	4	2
150	в одном	2	2
151	этом смысле	2	2
152	не с	3	2
153	у нас	2	2
154	по своему	2	2
155	видим в	2	2
156	в своей	6	2
157	ключ к	2	2
158	этого слова	3	2
159	не могло	2	2
160	ее в	2	2
161	не на	2	2
162	а и	4	2
163	а в	13	2
164	с другими	5	2
165	в данном	8	2
166	к которому	3	2
167	в другом	3	2
