N	2gram	Losev_Prob_4	Analitik
1	в качестве	10	31
2	может быть	9	29
3	в том	20	27
4	не может	5	22
5	и не	28	21
6	в частности	2	19
7	и в	20	18
8	а не	7	17
9	но и	14	17
10	отнюдь не	10	15
11	не только	24	15
12	не в	13	14
13	как и	6	13
14	в его	3	13
15	в этом	9	13
16	том что	12	12
17	при этом	6	12
18	в себе	12	11
19	то есть	27	11
20	но не	5	10
21	то же	7	9
22	а в	4	9
23	в то	4	9
24	есть не	6	8
25	не есть	12	8
26	в той	8	8
27	но в	8	8
28	к тому	3	7
29	том чтобы	2	7
30	тем самым	4	7
31	времени и	4	6
32	это не	7	6
33	прежде всего	11	6
34	или иной	13	6
35	в самом	2	6
36	себя в	2	6
37	той или	14	6
38	далеко не	2	6
39	то что	15	6
40	в своей	4	6
41	точки зрения	14	6
42	только в	23	6
43	мы имеем	6	6
44	и как	3	5
45	в этой	4	5
46	что в	3	5
47	такого рода	7	5
48	как бы	4	5
49	и его	10	5
50	и на	3	5
51	что иное	2	5
52	о том	5	5
53	иное как	2	5
54	и более	3	4
55	столь же	2	4
56	с другой	7	4
57	по себе	11	4
58	в литературе	2	4
59	не что	2	4
60	ни в	17	4
61	тому же	2	4
62	того же	2	4
63	имеем дело	3	4
64	для того	3	4
65	в области	3	4
66	как предмет	2	4
67	все же	2	4
68	вместе с	5	4
69	так и	10	4
70	дело с	2	4
71	именно в	7	4
72	уже не	5	4
73	ни было	2	4
74	из которых	3	4
75	с точки	11	4
76	с другими	3	4
77	в другом	3	4
78	с ним	4	4
79	с его	2	3
80	однако не	4	3
81	и есть	4	3
82	однако в	2	3
83	в нашем	12	3
84	хотя бы	7	3
85	и все	8	3
86	или иного	3	3
87	в нем	5	3
88	и к	3	3
89	что он	8	3
90	и т	4	3
91	том или	3	3
92	еще не	7	3
93	что не	4	3
94	никто не	2	3
95	он не	2	3
96	в котором	2	3
97	дело не	3	3
98	что и	3	3
99	не будет	2	3
100	ни с	4	3
101	а именно	2	3
102	таким образом	8	3
103	того чтобы	2	3
104	того или	3	3
105	к нему	3	3
106	в таком	6	3
107	как будто	11	3
108	что мы	3	3
109	будто бы	2	3
110	произведения искусства	2	3
111	в художественном	4	3
112	бы быть	2	3
113	а также	6	3
114	если бы	8	3
115	только для	3	2
116	и то	2	2
117	не являются	2	2
118	только не	4	2
119	на все	2	2
120	все эти	16	2
121	между собой	2	2
122	для этого	2	2
123	в какой	4	2
124	не является	10	2
125	не просто	16	2
126	была бы	2	2
127	вовсе не	21	2
128	или иных	3	2
129	что именно	2	2
130	можно сказать	5	2
131	в коем	3	2
132	тех или	4	2
133	самое время	2	2
134	в начале	3	2
135	то в	2	2
136	и потому	7	2
137	для него	3	2
138	в пределах	2	2
139	случае не	5	2
140	было бы	14	2
141	несмотря на	4	2
142	себе в	3	2
143	на его	2	2
144	за пределы	2	2
145	и о	5	2
146	и является	3	2
147	нет и	2	2
148	сами по	2	2
149	не к	2	2
150	из них	3	2
151	не говоря	3	2
152	данном случае	5	2
153	и тогда	2	2
154	другой стороны	6	2
155	отличается от	4	2
156	здесь не	7	2
157	на самом	5	2
158	самом деле	3	2
159	свидетельствует о	2	2
160	не сам	2	2
161	едва ли	10	2
162	и по	2	2
163	коем случае	3	2
164	как мы	3	2
165	то он	2	2
166	также и	13	2
167	тем более	4	2
168	анализа не	2	2
169	для себя	2	2
170	в данном	6	2
171	же самое	6	2
172	при помощи	10	2
173	нет ничего	3	2
174	так как	5	2
175	потому что	15	2
176	в которой	2	2
177	в сознании	3	2
178	и с	7	2
