N	2gram	Bakhtin_Fr_4	PoTuStor
1	может быть	2	17
2	и в	29	16
3	прежде всего	8	9
4	таким образом	20	9
5	в этом	11	9
6	мы можем	3	9
7	и его	8	8
8	и с	9	8
9	точки зрения	4	8
10	не может	2	8
11	с его	4	7
12	сказать что	5	7
13	не только	10	7
14	и это	2	6
15	и к	2	6
16	с точки	2	6
17	при этом	3	6
18	конечно не	4	6
19	только для	4	5
20	все эти	9	5
21	в чем	3	5
22	ни в	2	5
23	еще не	4	5
24	как бы	8	5
25	с самого	3	4
26	самого начала	3	4
27	в нем	5	4
28	и их	3	4
29	но и	9	4
30	так и	11	4
31	все это	4	4
32	и все	13	4
33	так как	7	4
34	и не	16	4
35	на самом	4	4
36	как мы	10	4
37	но мы	2	4
38	и наконец	2	4
39	и даже	3	4
40	с ними	3	4
41	и на	11	4
42	в этой	13	4
43	с ее	3	4
44	только в	2	4
45	в один	2	4
46	его в	9	4
47	но в	12	4
48	в его	8	4
49	во время	10	3
50	на этой	2	3
51	в этих	2	3
52	жизни и	4	3
53	и есть	4	3
54	и др	4	3
55	в большинстве	6	3
56	и вот	3	3
57	большинстве случаев	5	3
58	в том	7	3
59	том что	3	3
60	и как	3	3
61	то что	4	3
62	их в	2	3
63	в основе	2	3
64	на этом	2	3
65	но оно	2	3
66	мира и	4	3
67	между ними	2	3
68	поэтому и	5	2
69	один из	4	2
70	связанных с	2	2
71	другими словами	2	2
72	в частности	3	2
73	никогда не	2	2
74	в них	7	2
75	того же	5	2
76	и так	3	2
77	в жизни	2	2
78	то же	10	2
79	быть может	2	2
80	к этому	2	2
81	по всему	2	2
82	на них	2	2
83	и других	3	2
84	с помощью	4	2
85	что он	4	2
86	и т.п	12	2
87	на первый	2	2
88	у него	5	2
89	и по	5	2
90	и для	2	2
91	все остальные	3	2
92	как и	12	2
93	они не	2	2
94	мы видим	3	2
95	так же	7	2
96	но это	4	2
97	и образы	9	2
98	за счет	3	2
99	есть в	2	2
100	мы уже	10	2
101	по своему	4	2
102	не на	2	2
103	он не	3	2
104	образов и	2	2
105	и этим	2	2
106	есть и	4	2
107	что это	5	2
108	и мы	2	2
109	связанные с	4	2
110	о том	2	2
111	но как	3	2
112	в своей	5	2
113	и о	5	2
114	с ним	2	2
