N	2gram	Tiupa_Vved_1	Vladivir
1	и в	13	40
2	то что	6	28
3	и не	12	25
4	не только	20	25
5	то есть	8	24
6	но и	19	18
7	в том	10	18
8	том что	7	18
9	что в	3	17
10	также и	4	17
11	в этом	21	16
12	в его	4	14
13	не может	7	14
14	только в	6	13
15	никогда не	4	11
16	таким образом	4	11
17	потому что	5	11
18	о том	5	11
19	едва ли	3	11
20	прежде всего	7	10
21	тем не	3	10
22	как раз	2	10
23	и его	5	10
24	не менее	4	9
25	уже не	5	9
26	и с	2	9
27	в своей	5	9
28	что же	3	9
29	в себе	5	9
30	в своем	5	8
31	для него	3	8
32	может быть	18	8
33	он не	3	8
34	а также	8	8
35	как мы	3	8
36	а не	15	8
37	к тому	6	7
38	хотя и	7	7
39	а в	6	7
40	в своих	2	7
41	того что	6	7
42	в то	4	7
43	что и	2	7
44	как и	11	7
45	и на	3	6
46	и от	2	6
47	по себе	2	6
48	об этом	4	6
49	так и	8	6
50	но это	3	6
51	с другой	5	5
52	для нас	2	5
53	тому же	4	5
54	не было	2	5
55	в ней	4	5
56	тоже не	2	5
57	отнюдь не	7	5
58	еще в	2	5
59	или менее	2	5
60	можно было	2	5
61	в данном	13	5
62	тем что	2	5
63	более или	2	5
64	до конца	3	4
65	такого рода	16	4
66	в самом	2	4
67	в котором	8	4
68	она была	2	4
69	не имеет	2	4
70	бы и	4	4
71	в результате	3	4
72	однако и	2	4
73	и все	4	4
74	не с	3	4
75	но не	5	4
76	еще не	7	4
77	было бы	4	4
78	никак не	2	4
79	то же	5	4
80	а с	2	4
81	то он	2	4
82	все же	6	4
83	но в	6	4
84	перед нами	6	3
85	в качестве	8	3
86	это не	6	3
87	из этих	3	3
88	одной стороны	5	3
89	при этом	26	3
90	как бы	4	3
91	и тем	2	3
92	в нем	5	3
93	мы видели	2	3
94	с одной	5	3
95	не столько	4	3
96	или не	2	3
97	сводится к	4	3
98	мы имеем	5	3
99	если бы	7	3
100	но о	2	3
101	не все	2	3
102	в отличие	2	3
103	на самом	4	3
104	не в	6	3
105	и для	3	3
106	далеко не	4	3
107	здесь не	2	3
108	отличие от	2	3
109	но на	2	2
110	должна быть	2	2
111	в нашем	6	2
112	в этих	3	2
113	все они	2	2
114	в какой	4	2
115	что на	2	2
116	мы и	2	2
117	же время	3	2
118	не можем	2	2
119	истории в	5	2
120	и наконец	2	2
121	не о	2	2
122	той или	3	2
123	не является	3	2
124	в целом	3	2
125	который в	2	2
126	другой стороны	2	2
127	то и	2	2
128	и по	3	2
129	этом отношении	4	2
130	что касается	5	2
131	это время	2	2
132	к его	3	2
133	в начале	3	2
134	по своей	3	2
135	что мы	2	2
136	бы в	3	2
137	не вполне	3	2
138	могло бы	3	2
139	не существует	2	2
140	и более	3	2
141	которая в	3	2
142	в настоящем	2	2
143	не как	2	2
144	в жизни	4	2
145	к этому	2	2
146	и к	2	2
147	в силу	2	2
148	а то	2	2
149	не к	4	2
150	наряду с	2	2
151	в этот	2	2
152	со стороны	5	2
153	в мире	8	2
154	данном случае	6	2
155	быть и	2	2
156	на него	2	2
157	тем самым	5	2
158	свидетельствует о	4	2
159	мы не	4	2
160	или иначе	2	2
161	всей своей	2	2
