N	2gram	Tiupa_Hudo_2	TeoriaLi
1	в мире	7	24
2	не только	11	18
3	в качестве	4	17
4	тогда как	7	16
5	и не	18	16
6	а в	6	14
7	в частности	7	13
8	и в	28	13
9	состоит в	7	13
10	может быть	8	12
11	так и	8	12
12	при этом	11	11
13	в этом	13	11
14	в том	15	11
15	но не	4	10
16	в тексте	5	10
17	а не	14	10
18	и его	5	10
19	в его	11	9
20	то же	6	9
21	в душе	8	8
22	сводится к	6	8
23	что в	5	8
24	своего рода	16	8
25	отношению к	7	8
26	но и	9	8
27	по отношению	7	8
28	в миропорядке	4	8
29	себя в	8	7
30	в себе	9	7
31	том что	19	7
32	во второй	2	7
33	в данном	2	7
34	точки зрения	2	7
35	в то	6	7
36	только в	4	7
37	как это	7	7
38	место в	2	6
39	с его	5	6
40	же время	4	6
41	еще не	3	6
42	лишь в	2	6
43	как бы	5	6
44	но в	2	6
45	однако в	2	5
46	в своем	5	5
47	или иного	2	5
48	или иной	2	5
49	а также	2	5
50	в ее	18	5
51	как и	11	5
52	не в	13	5
53	между ними	2	5
54	в самом	5	5
55	того или	2	5
56	я с	2	5
57	роли в	2	5
58	в нем	3	5
59	данном случае	2	5
60	как в	5	5
61	он не	4	5
62	уже не	10	5
63	тем самым	2	5
64	в принципе	2	5
65	жизни как	5	5
66	с другой	3	5
67	не случайно	10	5
68	между тем	8	5
69	героя и	3	5
70	личности и	2	4
71	не менее	5	4
72	конечном счете	3	4
73	не столько	2	4
74	художественности в	2	4
75	личности в	3	4
76	можно сказать	6	4
77	внутреннего я	2	4
78	и а	2	4
79	в конечном	4	4
80	в своей	6	4
81	то что	6	4
82	отношение к	2	4
83	по преимуществу	3	4
84	приводит к	2	4
85	не может	4	4
86	сказать что	2	4
87	и ее	3	4
88	говорить о	2	4
89	всего лишь	3	4
90	перед нами	11	3
91	никогда не	5	3
92	в нашем	2	3
93	в этих	3	3
94	со своей	2	3
95	прежде всего	3	3
96	и к	2	3
97	тем не	4	3
98	в соответствии	3	3
99	а всего	2	3
100	для него	5	3
101	и сам	5	3
102	не все	3	3
103	с ее	5	3
104	как раз	4	3
105	а с	3	3
106	именно в	2	3
107	художественного целого	5	3
108	в другом	2	3
109	или в	3	3
110	и то	2	3
111	потому что	2	3
112	являет собой	2	3
113	в основе	2	3
114	в финале	2	3
115	в этой	5	3
116	и т.д	2	3
117	и внешней	2	3
118	его в	2	3
119	в художественном	4	3
120	я не	7	2
121	и составляет	2	2
122	только не	2	2
123	о чем	8	2
124	если бы	6	2
125	была бы	3	2
126	себя и	2	2
127	способность к	2	2
128	жизни в	7	2
129	это не	6	2
130	человеческого я	4	2
131	о себе	3	2
132	на фоне	3	2
133	вовсе не	2	2
134	что он	8	2
135	к тому	7	2
136	автором и	2	2
137	об этом	7	2
138	соответствии с	3	2
139	что они	4	2
140	казалось бы	6	2
141	говорит в	2	2
142	одной стороны	3	2
143	во втором	2	2
144	о своем	4	2
145	одной из	3	2
146	вслед за	4	2
147	в роли	2	2
148	к числу	2	2
149	не с	2	2
150	к нему	3	2
151	вместе с	2	2
152	дело не	2	2
153	со стороны	3	2
154	человеческой жизни	6	2
155	жизни то	2	2
156	здесь не	2	2
157	и для	2	2
158	с одной	3	2
159	и состоит	3	2
160	и о	4	2
161	с точки	2	2
162	так же	3	2
163	роль в	2	2
164	человеческого бытия	2	2
165	в рассказе	21	2
166	автора и	2	2
167	воспринимающего сознания	2	2
168	у него	5	2
169	самим собою	2	2
170	человеческих отношений	2	2
171	на себя	3	2
172	могла бы	2	2
173	как будто	4	2
174	о том	12	2
175	и это	3	2
176	я и	6	2
177	это было	2	2
