N	3gram	Propp_Morf_1	Istorich
1	и т д	39	16
2	в этих случаях	11	10
3	с другой стороны	4	8
4	в тех случаях	2	4
5	в том что	3	4
6	на первый взгляд	3	4
7	имеем в сказке	3	4
8	тем не менее	4	4
9	случай мы имеем	3	3
10	мы видим что	9	3
11	во время боя	2	3
12	с того что	2	3
13	то что в	2	3
14	дело не в	2	3
15	не может быть	9	3
16	начинается с того	2	3
17	тех случаях когда	2	3
18	связи с сватовством	4	2
19	есть и другие	2	2
20	как и в	2	2
21	в то время	3	2
22	образом мы видим	3	2
23	но все же	3	2
24	т д в	2	2
25	таким образом мы	5	2
26	то время как	3	2
