N	2gram	Vygotskiy__3	VrazhdaK
1	не только	6	9
2	в этом	14	8
3	и что	10	8
4	и в	25	8
5	но и	4	7
6	что в	17	7
7	то что	15	7
8	и все	4	7
9	в котором	3	6
10	в нем	2	6
11	все же	6	6
12	как и	15	6
13	в начале	2	6
14	то же	2	5
15	и не	10	5
16	об этом	2	5
17	между тем	3	5
18	в то	4	5
19	уже в	7	4
20	для нас	2	4
21	как бы	10	4
22	все это	6	4
23	что он	6	4
24	так же	17	4
25	с ним	4	4
26	в своих	2	4
27	может быть	13	4
28	при этом	5	4
29	о том	5	4
30	с его	2	3
31	связи с	9	3
32	в своем	4	3
33	и во	2	3
34	в связи	6	3
35	к этому	3	3
36	на то	4	3
37	и у	6	3
38	в том	23	3
39	и его	2	3
40	том что	20	3
41	и как	5	3
42	тем что	8	3
43	в его	15	3
44	его в	3	3
45	наряду с	3	3
46	в чем	2	3
47	одним из	5	3
48	он не	4	3
49	место в	2	2
50	а с	3	2
51	в известном	4	2
52	в своей	2	2
53	и это	4	2
54	из них	4	2
55	не менее	6	2
56	никогда не	4	2
57	вместе с	14	2
58	отнюдь не	4	2
59	в них	2	2
60	столь же	7	2
61	не может	6	2
62	а в	4	2
63	таким образом	17	2
64	но это	5	2
65	уже не	2	2
66	на первый	2	2
67	не мог	4	2
68	мы знаем	4	2
69	же в	2	2
70	на основе	22	2
71	этот момент	2	2
72	в этой	5	2
73	и то	2	2
74	же как	6	2
75	их в	3	2
76	но как	3	2
77	точки зрения	6	2
78	в свою	3	2
79	в себе	2	2
80	для него	5	2
81	в нашей	2	2
82	еще не	4	2
83	в мире	2	2
84	с нею	2	2
85	одна из	2	2
86	в эту	2	2
87	а также	2	2
88	в него	3	2
