N	2gram	Propp_Isto_6	Literetu
1	и не	10	22
2	тогда как	2	17
3	и в	26	16
4	при этом	3	15
5	не только	10	14
6	но и	9	14
7	в этом	12	14
8	а не	2	12
9	то что	6	12
10	может быть	11	12
11	в том	12	12
12	в частности	3	11
13	не в	3	10
14	своего рода	2	10
15	то же	5	9
16	так и	5	9
17	того что	2	9
18	в то	5	9
19	том что	10	8
20	не может	6	8
21	к себе	2	8
22	в этой	2	8
23	как бы	4	8
24	в своей	3	7
25	со стороны	3	7
26	тем самым	2	7
27	только в	5	7
28	с его	4	6
29	с другой	10	6
30	к тому	2	6
31	еще не	9	6
32	в его	5	6
33	и его	7	6
34	в себе	3	6
35	о том	7	6
36	в качестве	3	5
37	это не	4	5
38	что он	9	5
39	как и	5	5
40	вместе с	8	5
41	как в	6	5
42	а именно	9	5
43	а в	3	5
44	но не	2	4
45	никогда не	13	4
46	однако в	2	4
47	даже в	2	4
48	как у	2	4
49	одной стороны	7	4
50	отношению к	2	4
51	данном случае	3	4
52	по отношению	2	4
53	с одной	7	4
54	а также	4	4
55	в данном	3	4
56	как будто	3	4
57	в одном	3	4
58	все время	2	3
59	прежде всего	4	3
60	и как	2	3
61	о чем	2	3
62	например в	7	3
63	на его	4	3
64	еще в	3	3
65	и тем	4	3
66	жизни и	2	3
67	уже не	7	3
68	и наконец	3	3
69	те кто	2	3
70	как на	3	3
71	потому что	13	3
72	там где	5	3
73	как это	5	3
74	но в	7	3
75	что в	12	2
76	если бы	3	2
77	что у	2	2
78	в лице	2	2
79	с этой	2	2
80	к этому	3	2
81	не всегда	4	2
82	вопрос о	3	2
83	стороны и	2	2
84	на то	2	2
85	в нем	8	2
86	и ее	3	2
87	у нас	5	2
88	того же	2	2
89	можно сказать	2	2
90	было бы	2	2
91	и сам	2	2
92	что не	2	2
93	нас к	5	2
94	не вполне	2	2
95	один из	3	2
96	то это	5	2
97	что и	4	2
98	все же	8	2
99	когда он	3	2
100	как мы	4	2
101	так же	2	2
102	и только	3	2
103	человека в	2	2
104	и вот	3	2
105	не означает	2	2
106	другой стороны	8	2
107	с ними	2	2
108	в своих	3	2
109	и на	12	2
110	и с	6	2
111	быть только	2	2
112	тем что	5	2
113	далеко не	3	2
114	он и	2	2
115	представляет собой	2	2
116	его в	5	2
117	здесь не	2	2
118	мира и	2	2
119	ее в	6	2
