N	3gram	Bakhtin_Pr_2	slovoVRo
1	и т п	9	33
2	не может быть	4	15
3	в отличие от	4	12
4	с чужим словом	4	10
5	в пределах одного	9	7
6	той или иной	3	5
7	в большинстве случаев	8	5
8	чужого слова в	3	5
9	то же время	5	4
10	в то же	5	4
11	в отношении к	2	4
12	по отношению к	5	4
13	но все же	2	4
14	в узком смысле	2	4
15	в той или	3	3
16	с точки зрения	8	3
17	сама по себе	4	3
18	но в то	3	3
19	чужого слова и	3	3
20	никогда не может	2	2
21	может быть и	2	2
22	как мы сказали	2	2
23	и т д	4	2
24	к чужому слову	6	2
25	человека и его	2	2
26	более или менее	3	2
27	до сих пор	7	2
