N	2gram	Nazirov_Tr_1	Myshleni
1	в том	2	42
2	том что	4	35
3	в этом	9	24
4	и в	18	20
5	что в	4	19
6	то же	5	16
7	то что	4	15
8	не только	8	15
9	при этом	3	12
10	потому что	2	12
11	может быть	7	12
12	в целом	4	11
13	так же	4	11
14	в его	3	11
15	и то	2	10
16	в себе	4	10
17	и как	3	9
18	но и	4	9
19	ребенка и	2	9
20	как это	3	9
21	как и	5	9
22	что и	2	9
23	и не	7	8
24	и что	4	8
25	как бы	7	7
26	тем самым	3	7
27	тем что	2	7
28	уже в	3	6
29	к тому	2	6
30	в самом	2	6
31	не может	5	6
32	и на	7	6
33	его в	2	6
34	с тем	2	6
35	что он	6	6
36	перед нами	2	5
37	в частности	2	5
38	никогда не	2	5
39	это не	5	5
40	и его	6	5
41	все же	5	5
42	о том	2	5
43	так и	5	5
44	как в	3	5
45	все эти	3	5
46	в своем	3	4
47	в ходе	2	4
48	что с	3	4
49	ребенка в	2	4
50	друг друга	2	4
51	и с	7	4
52	не в	2	4
53	не могут	2	3
54	точно так	2	3
55	что все	2	3
56	так что	2	3
57	с первого	2	3
58	в этой	4	3
59	знает что	2	3
60	один из	3	3
61	столь же	2	3
62	должно быть	3	3
63	но в	6	3
64	отнюдь не	3	3
65	только к	2	3
66	говорит что	2	3
67	ни в	2	3
68	в виде	2	3
69	на всем	2	2
70	прежде всего	4	2
71	для него	3	2
72	что это	5	2
73	в нем	4	2
74	к нему	3	2
75	данном случае	2	2
76	в отличие	2	2
77	по мнению	2	2
78	не просто	2	2
79	между этими	2	2
80	не имеет	2	2
81	в данном	2	2
82	и здесь	2	2
83	что эти	2	2
84	под влиянием	2	2
85	но они	2	2
86	у него	6	2
87	еще не	4	2
88	как говорит	2	2
89	и он	3	2
90	в таком	2	2
91	что этот	2	2
92	и это	2	2
93	этими двумя	2	2
94	отличие от	2	2
