N	2gram	Ircho_Kome_3	Sotsiolo
1	все это	5	7
2	в том	12	5
3	в этом	8	5
4	не в	4	3
5	в его	8	3
6	более чем	5	3
7	и в	22	3
8	не только	5	3
9	по отношению	5	2
10	еще не	6	2
11	было бы	3	2
12	в конце	7	2
13	по существу	2	2
14	и мы	3	2
15	таким образом	12	2
16	том что	13	2
17	далеко не	3	2
18	то же	7	2
19	отношению к	3	2
20	то что	4	2
21	тем более	4	2
22	может быть	6	2
23	за пределы	2	2
24	в результате	2	2
25	в частности	3	2
26	и что	6	2
27	но и	4	2
28	дело не	2	2
29	только как	2	2
30	как бы	3	2
31	конце концов	2	2
32	что в	5	2
