N	2gram	Losev_Vlad_2	Hudozhes
1	и в	30	28
2	том что	12	19
3	и не	18	18
4	в том	18	15
5	а не	7	14
6	не в	9	13
7	в этом	20	13
8	о том	4	12
9	как и	5	11
10	при этом	5	11
11	в его	11	11
12	не только	12	11
13	уже не	3	10
14	но и	8	9
15	в себе	6	9
16	о чем	6	8
17	что он	13	8
18	может быть	7	8
19	себя в	2	8
20	так и	5	8
21	я не	4	7
22	жизни в	2	7
23	и все	7	7
24	к тому	2	7
25	об этом	6	7
26	в частности	2	7
27	с ним	5	7
28	как это	7	7
29	казалось бы	2	6
30	это не	2	6
31	можно сказать	4	6
32	в котором	5	6
33	то что	20	6
34	жизни и	6	6
35	в своей	5	6
36	то же	4	6
37	не было	10	6
38	а в	11	6
39	и с	14	6
40	для себя	5	6
41	в то	9	6
42	я и	2	6
43	с его	4	5
44	что это	4	5
45	не менее	7	5
46	у него	19	5
47	в своем	8	5
48	как бы	5	5
49	как в	3	5
50	вот и	3	5
51	да и	3	5
52	в этой	4	5
53	что в	12	5
54	она не	2	5
55	и сам	2	5
56	в самом	2	5
57	наряду с	2	5
58	никогда не	7	5
59	его жизни	6	5
60	не могла	2	5
61	и его	6	5
62	для него	9	5
63	ничего не	2	5
64	у вас	2	4
65	тем не	6	4
66	своей жизни	3	4
67	то в	5	4
68	но не	3	4
69	же время	3	4
70	для того	2	4
71	о своем	2	4
72	и о	4	4
73	он не	4	4
74	что и	3	4
75	не может	9	4
76	того чтобы	2	4
77	как будто	2	4
78	только в	6	4
79	в них	3	3
80	прежде всего	6	3
81	в нем	4	3
82	для нас	7	3
83	есть и	2	3
84	было бы	9	3
85	по поводу	4	3
86	в это	4	3
87	несмотря на	4	3
88	во сне	2	3
89	в ней	4	3
90	мы уже	2	3
91	в этих	4	3
92	со стороны	4	3
93	все это	5	3
94	не могу	2	3
95	едва ли	3	3
96	и он	4	3
97	так же	4	3
98	можно было	2	3
99	и на	4	3
100	будто бы	2	3
101	как он	2	3
102	и это	3	3
103	к нему	2	3
104	мы с	4	3
105	мы читаем	4	2
106	он сам	2	2
107	однако в	2	2
108	его и	2	2
109	именно в	4	2
110	а вот	2	2
111	не столько	3	2
112	и от	2	2
113	из этих	3	2
114	а за	2	2
115	гораздо более	2	2
116	разговора о	2	2
117	вовсе не	4	2
118	ему в	2	2
119	о его	5	2
120	как мы	11	2
121	мы знаем	4	2
122	ли он	2	2
123	что я	3	2
124	как у	2	2
125	на этом	2	2
126	но тем	2	2
127	со своей	2	2
128	бы с	2	2
129	что не	2	2
130	и к	6	2
131	нам представляется	2	2
132	он уже	5	2
133	же и	2	2
134	к ней	3	2
135	о нем	2	2
136	отношениях с	2	2
137	а также	10	2
138	к числу	2	2
139	это было	4	2
140	все же	9	2
141	людей в	2	2
142	отношение к	4	2
143	во второй	2	2
144	ни с	2	2
145	вместе с	8	2
146	жизни с	2	2
147	данном случае	2	2
148	который был	2	2
149	что же	8	2
150	мысли и	2	2
151	здесь не	4	2
152	того как	2	2
153	еще и	6	2
154	те же	3	2
155	в двух	2	2
156	ее на	2	2
157	хотя бы	3	2
158	перед смертью	2	2
159	и для	3	2
160	с точки	3	2
161	той же	4	2
162	в данном	3	2
163	и то	5	2
164	у которого	2	2
165	сказать что	11	2
166	потому что	9	2
167	в виде	3	2
168	точки зрения	7	2
169	к той	2	2
170	приходит к	2	2
171	себе в	2	2
172	его в	4	2
173	нет ничего	3	2
174	н я	4	2
175	но в	8	2
