N	2gram	Vygotskiy__4	Narrotol
1	не только	15	32
2	может быть	12	25
3	но и	9	23
4	в качестве	21	21
5	и не	8	20
6	и в	20	19
7	в том	42	18
8	в этом	24	17
9	в частности	5	14
10	том что	35	14
11	не в	4	14
12	состоит в	4	13
13	а не	7	12
14	тогда как	2	12
15	представляет собой	3	12
16	то что	15	11
17	а в	2	11
18	не может	6	10
19	точки зрения	24	10
20	при этом	12	9
21	со стороны	3	9
22	так и	5	9
23	в его	11	9
24	с другой	12	8
25	не является	5	8
26	и т.п	2	8
27	в себе	10	8
28	и т.д	2	7
29	как и	9	7
30	еще не	2	7
31	к тому	6	7
32	такого рода	6	7
33	а также	2	7
34	все же	5	7
35	как в	5	7
36	с одной	9	7
37	одной стороны	9	7
38	том числе	2	6
39	что он	6	6
40	но не	3	6
41	именно в	3	6
42	в той	2	6
43	тем самым	7	6
44	как это	9	6
45	о том	5	6
46	но в	3	6
47	и как	9	5
48	отнюдь не	3	5
49	тому же	6	5
50	себя в	3	5
51	к нему	2	5
52	и его	5	5
53	в данном	2	5
54	в основе	17	5
55	между двумя	2	5
56	в отличие	2	5
57	отличие от	2	5
58	в этой	3	5
59	далеко не	2	5
60	перед нами	5	4
61	переход от	2	4
62	прежде всего	2	4
63	в нем	2	4
64	у него	2	4
65	то же	16	4
66	в силу	6	4
67	если не	2	4
68	было бы	8	4
69	связи с	3	4
70	вслед за	2	4
71	одной из	3	4
72	как бы	7	4
73	речь идет	5	4
74	и тем	8	4
75	данном случае	2	4
76	другой стороны	9	4
77	отличается от	2	4
78	те же	6	4
79	числе и	2	4
80	сказать что	6	4
81	только в	10	4
82	здесь не	2	4
83	и с	4	4
84	же не	2	4
85	не менее	3	3
86	а с	2	3
87	же как	6	3
88	что в	19	3
89	могут быть	7	3
90	никогда не	5	3
91	уже в	6	3
92	из этих	2	3
93	в свою	2	3
94	ни в	3	3
95	может не	2	3
96	что они	14	3
97	свою очередь	2	3
98	в сущности	4	3
99	на том	4	3
100	в ней	2	3
101	обратимся к	4	3
102	один из	3	3
103	не есть	2	3
104	как говорит	2	3
105	из них	4	3
106	когда он	3	3
107	этом отношении	7	3
108	который по	2	3
109	как мы	13	3
110	столь же	3	3
111	и он	2	3
112	и на	6	3
113	между тем	9	3
114	тем что	7	3
115	по своей	6	3
116	что это	2	3
117	в известном	2	2
118	не являются	3	2
119	этого понятия	3	2
120	должна быть	2	2
121	между собой	5	2
122	которая в	2	2
123	в своем	4	2
124	в какой	3	2
125	точно так	3	2
126	в собственном	7	2
127	идет о	3	2
128	различие между	3	2
129	что на	2	2
130	на первый	4	2
131	по выражению	4	2
132	по существу	3	2
133	поведения в	2	2
134	между ними	4	2
135	в памяти	2	2
136	как известно	3	2
137	и тот	7	2
138	для него	2	2
139	выступает в	5	2
140	наряду с	3	2
141	в обоих	3	2
142	и когда	3	2
143	даже в	2	2
144	не имеет	2	2
145	от одной	2	2
146	приводит к	3	2
147	во всей	4	2
148	так же	11	2
149	в связи	3	2
150	и только	4	2
151	собой не	2	2
152	все эти	5	2
153	ключ к	4	2
154	этой точки	4	2
155	совершенно не	3	2
156	они не	2	2
157	самом деле	7	2
158	к другой	2	2
159	что мы	7	2
160	со словами	3	2
161	одним из	2	2
162	и для	4	2
163	с точки	11	2
164	это не	5	2
165	роль в	4	2
166	в таком	2	2
167	можно было	6	2
168	тому как	2	2
169	в результате	8	2
170	подобно тому	2	2
171	приходит к	3	2
172	но как	2	2
173	этого слова	11	2
174	его в	6	2
175	когда мы	2	2
176	оно может	3	2
177	мы имеем	2	2
178	к которому	3	2
