N	3gram	Losev_Prob_1	Narrotol
1	в том что	5	8
2	о том что	5	6
3	не может быть	2	5
4	можно сказать что	3	4
5	той или иной	4	4
6	в данном случае	8	4
7	с другой стороны	3	4
8	и тем самым	3	3
9	в то же	4	3
10	тем не менее	18	3
11	сами по себе	3	2
12	так или иначе	2	2
13	так же как	2	2
14	не что иное	2	2
15	в связи с	4	2
16	что иное как	2	2
17	более или менее	3	2
18	в таком случае	6	2
19	с точки зрения	3	2
20	подобно тому как	2	2
21	то есть в	4	2
22	точно так же	4	2
23	можно было бы	2	2
24	того или иного	2	2
