N	2gram	Savitsky_P_1	RusskieA
1	и в	14	36
2	не только	17	22
3	что в	4	19
4	том что	4	19
5	а н	5	18
6	в том	9	17
7	т е	3	17
8	но и	6	16
9	в этом	10	12
10	это не	3	10
11	в xix	2	10
12	и т	3	10
13	потому что	3	10
14	а в	4	9
15	с тем	3	8
16	из них	2	8
17	может быть	5	8
18	и других	2	7
19	между тем	3	7
20	и не	12	6
21	для нас	2	6
22	в них	2	6
23	мы не	3	6
24	все это	2	6
25	в виде	2	6
26	то что	4	6
27	н а	10	5
28	как бы	4	5
29	с ними	3	5
30	в которых	5	5
31	одна из	2	4
32	во всех	2	4
33	в россии	3	4
34	не может	4	4
35	того что	2	4
36	только в	7	4
37	в русском	2	4
38	не менее	2	3
39	для них	2	3
40	в качестве	9	3
41	в своем	4	3
42	думать что	2	3
43	и к	4	3
44	а также	4	3
45	если в	2	3
46	не будем	2	3
47	то же	9	3
48	с точки	3	3
49	точки зрения	3	3
50	в области	11	3
51	не было	2	2
52	в частности	2	2
53	могут быть	3	2
54	переход от	2	2
55	с этим	2	2
56	и потому	4	2
57	главным образом	2	2
58	в нем	3	2
59	в жизни	2	2
60	и как	3	2
61	в силу	2	2
62	но не	3	2
63	отнюдь не	2	2
64	например в	2	2
65	в ней	6	2
66	в его	2	2
67	ii в	2	2
68	и с	2	2
69	в е	2	2
70	и и	2	2
71	между прочим	2	2
72	а не	2	2
73	и пр	5	2
74	хотя и	3	2
75	но в	9	2
76	мы должны	4	2
