N	2gram	Medvedev_F_1	Problema
1	в его	23	43
2	и не	20	42
3	и в	24	38
4	познания и	4	30
5	не может	16	27
6	может быть	14	26
7	как бы	6	22
8	по отношению	4	21
9	в художественном	3	20
10	отнюдь не	6	19
11	отношению к	4	19
12	и с	8	17
13	и его	10	16
14	в нем	14	15
15	в этом	15	15
16	и т	12	14
17	независимо от	4	13
18	прежде всего	22	13
19	только в	2	13
20	т п	4	13
21	за пределы	2	12
22	в искусстве	5	12
23	в единстве	7	12
24	но не	3	12
25	ни в	2	11
26	художественного произведения	23	11
27	во всех	5	11
28	в области	3	11
29	отношение к	3	10
30	в их	11	10
31	таким образом	13	10
32	материала в	3	10
33	художественной формы	2	9
34	но и	7	9
35	его в	3	9
36	не только	7	9
37	место в	7	8
38	в том	6	8
39	и как	3	8
40	и др	5	8
41	точки зрения	16	8
42	произведения как	2	8
43	было бы	6	8
44	то что	8	8
45	входит в	6	8
46	художественное произведение	6	8
47	что в	4	7
48	с другой	5	7
49	с помощью	3	7
50	не в	8	7
51	в самом	5	7
52	между тем	2	7
53	как и	11	7
54	еще не	6	7
55	в своей	11	7
56	как мы	5	7
57	в пределах	6	6
58	и наконец	3	6
59	а в	6	6
60	на основе	6	6
61	только как	2	6
62	произведение в	3	6
63	не есть	2	6
64	все же	3	6
65	самом деле	6	6
66	с точки	13	6
67	отношения к	6	6
68	ничего не	2	6
69	то же	10	5
70	в своем	11	5
71	это не	2	5
72	формы и	5	5
73	в содержание	2	5
74	при этом	5	5
75	никогда не	4	5
76	все эти	6	5
77	должно быть	11	5
78	в основе	3	5
79	с ним	2	5
80	произведения в	8	5
81	в них	3	5
82	его целом	8	5
83	художественном произведении	3	5
84	конечно не	4	5
85	в большинстве	3	5
86	так и	18	5
87	не на	2	5
88	большинстве случаев	2	5
89	а не	10	5
90	должна быть	7	4
91	не менее	11	4
92	в нашем	2	4
93	не должна	7	4
94	на самом	7	4
95	лишь как	5	4
96	чтобы стать	2	4
97	должны быть	5	4
98	в ней	10	4
99	от всех	3	4
100	в то	9	4
101	в произведении	2	4
102	и потому	9	4
103	к которому	2	4
104	но в	5	4
105	перестает быть	3	4
106	не с	2	4
107	в ее	8	4
108	произведение как	3	4
109	как в	8	4
110	может и	2	4
111	конститутивным моментом	2	4
112	тем самым	3	4
113	между ними	3	4
114	хотя бы	5	4
115	более того	3	4
116	в себе	3	4
117	представлять себе	3	4
118	здесь не	3	4
119	к действительности	2	3
120	эстетики и	2	3
121	то ни	3	3
122	и от	7	3
123	его как	3	3
124	но это	3	3
125	почти совершенно	2	3
126	же время	8	3
127	из важнейших	2	3
128	одной стороны	4	3
129	искусства и	5	3
130	точка зрения	2	3
131	как такового	2	3
132	в целом	6	3
133	все это	9	3
134	и содержание	2	3
135	с одной	4	3
136	они не	3	3
137	применении к	2	3
138	есть лишь	2	3
139	и даже	3	3
140	и на	8	3
141	в применении	2	3
142	и должно	2	3
143	формальный метод	9	3
144	а как	2	3
145	и должна	2	3
146	ни было	2	3
147	если бы	4	3
148	и все	6	3
149	произведении как	3	3
150	на фоне	3	3
151	ясно что	3	3
152	и к	4	3
153	поэтического произведения	3	3
154	к миру	2	3
155	бы то	3	3
156	мы увидим	4	3
157	со всеми	3	3
158	действительности и	3	3
159	одной из	2	3
160	он не	3	3
161	об искусстве	3	3
162	на почве	13	3
163	нет и	2	3
164	оно не	4	3
165	на него	2	3
166	бытия в	3	3
167	искусства не	2	3
168	приводит к	2	3
169	культуры и	3	3
170	в мире	4	3
171	менее всего	2	3
172	с другими	4	3
173	значение для	2	3
174	и это	2	3
175	а лишь	2	2
176	другими областями	2	2
177	и закономерности	3	2
178	в частности	4	2
179	искусства как	2	2
180	материала и	3	2
181	в каждом	3	2
182	была бы	2	2
183	а только	2	2
184	как таковой	6	2
185	войти в	2	2
186	искусства в	4	2
187	не можем	2	2
188	в свою	8	2
189	не дает	2	2
190	и пр	17	2
191	нем и	2	2
192	в эстетике	2	2
193	дело идет	3	2
194	строгом смысле	2	2
195	таком положении	2	2
196	задачи и	4	2
197	художественных произведений	4	2
198	отличается от	3	2
199	как к	3	2
200	в связи	4	2
201	в особенности	3	2
202	особенно в	3	2
203	не было	3	2
204	и других	3	2
205	форм и	6	2
206	этой науки	2	2
207	в самой	2	2
208	лишь в	8	2
209	и что	2	2
210	произведения и	8	2
211	того что	5	2
212	действительности в	2	2
213	его не	2	2
214	и те	2	2
215	и здесь	6	2
216	в своих	2	2
217	во всем	2	2
218	в истории	4	2
219	того или	2	2
220	в россии	3	2
221	подхода к	2	2
222	как это	6	2
223	в него	2	2
224	произведения это	2	2
225	быть поняты	2	2
226	оно было	2	2
227	художественного восприятия	2	2
228	вне ее	3	2
229	с его	4	2
230	и более	2	2
231	он должен	3	2
232	русский формальный	2	2
233	раз и	2	2
234	вовсе не	10	2
235	или иного	3	2
236	что он	3	2
237	у нас	5	2
238	по существу	2	2
239	связи с	3	2
240	одна из	2	2
241	что содержание	2	2
242	содержания как	2	2
243	единство и	2	2
244	здесь в	2	2
245	лучшем случае	3	2
246	она не	6	2
247	в строгом	2	2
248	должен быть	5	2
249	что и	2	2
250	лишь для	2	2
251	в лучшем	3	2
252	является конечно	2	2
253	и ее	10	2
