N	2gram	Berdyaev_V_1	KulturaY
1	и т	2	33
2	в том	3	30
3	и в	16	24
4	потому что	4	23
5	том что	2	21
6	что в	3	17
7	того чтобы	2	17
8	т д	2	14
9	в этом	4	14
10	в его	4	12
11	и не	20	12
12	не в	3	11
13	только в	2	11
14	не только	2	10
15	хотя бы	3	10
16	то что	9	9
17	прежде всего	2	9
18	того что	5	9
19	так как	9	9
20	уже не	2	8
21	а не	7	8
22	тем что	2	8
23	в них	3	7
24	как бы	5	7
25	это не	2	7
26	так и	4	7
27	что он	4	6
28	в ней	4	6
29	но и	5	6
30	все это	5	6
31	можно было	2	6
32	все эти	3	6
33	с тем	2	5
34	к тому	3	5
35	но не	2	5
36	еще не	8	5
37	что не	4	5
38	и что	3	5
39	а в	2	5
40	во всяком	2	5
41	между тем	2	5
42	с ним	2	5
43	с его	3	4
44	в этих	3	4
45	и потому	7	4
46	в нем	4	4
47	что они	7	4
48	один из	2	4
49	что и	3	4
50	не есть	6	4
51	и тогда	2	4
52	если не	3	3
53	на себя	5	3
54	в духе	2	3
55	его к	2	3
56	то это	3	3
57	на том	2	3
58	в котором	4	3
59	в истории	8	3
60	оно не	3	3
61	не с	2	3
62	тому что	3	3
63	а с	2	3
64	не было	3	3
65	должно быть	3	3
66	должна быть	3	3
67	и то	2	3
68	хотя и	5	3
69	любовь к	3	2
70	до того	2	2
71	для них	2	2
72	и есть	4	2
73	никогда не	3	2
74	превращается в	3	2
75	что их	2	2
76	и все	4	2
77	что все	4	2
78	не могут	2	2
79	что было	2	2
80	для нас	2	2
81	как и	4	2
82	в последнем	2	2
83	когда в	2	2
84	тот же	3	2
85	уже на	2	2
86	и мы	3	2
87	конечно не	2	2
88	в своей	3	2
89	ее в	2	2
90	и против	3	2
91	ни в	3	2
92	бы и	3	2
93	и для	3	2
94	все равно	2	2
95	лишь в	3	2
96	не имеет	3	2
97	в силах	4	2
98	от этого	3	2
99	что я	3	2
100	но в	3	2
