N	2gram	Voloshinov_1	Mirosoze
1	может быть	14	30
2	не только	4	29
3	и в	12	28
4	не может	16	28
5	но и	3	25
6	а не	5	25
7	он не	2	24
8	в этом	4	20
9	не в	4	16
10	в ней	6	15
11	в своей	3	15
12	никогда не	5	14
13	до конца	2	14
14	в нем	6	13
15	для него	3	11
16	в самом	4	11
17	и не	10	11
18	что в	2	10
19	в своем	2	10
20	прежде всего	8	10
21	и все	2	10
22	и потому	2	10
23	в творчестве	3	10
24	в его	2	9
25	не есть	2	9
26	и его	13	9
27	но не	2	8
28	в котором	3	8
29	того что	3	7
30	но в	5	7
31	нет ничего	2	7
32	к нему	4	7
33	в себе	3	7
34	должна быть	5	6
35	в том	6	6
36	все это	3	6
37	и на	4	6
38	вместе с	2	6
39	только в	6	6
40	это не	2	5
41	как и	5	5
42	то что	5	5
43	уже в	2	4
44	в этих	2	4
45	с этой	2	4
46	есть уже	2	4
47	не к	3	4
48	отношение к	4	4
49	и по	3	4
50	точки зрения	14	4
51	в них	3	4
52	она не	2	4
53	за пределы	4	4
54	что и	2	4
55	уже не	4	4
56	себя и	2	3
57	для нас	7	3
58	не так	2	3
59	в момент	2	3
60	его в	4	3
61	так как	9	3
62	и с	3	3
63	с его	2	3
64	он должен	3	3
65	в жизни	5	3
66	том что	5	3
67	ничего не	2	3
68	социальной среды	2	3
69	конечно не	3	3
70	когда он	3	3
71	ко всем	2	3
72	хотя бы	5	3
73	место в	2	2
74	его как	2	2
75	в виду	5	2
76	жизни и	4	2
77	могут быть	2	2
78	по отношению	11	2
79	все эти	3	2
80	и что	2	2
81	и те	2	2
82	сказать что	7	2
83	как бы	13	2
84	о том	3	2
85	с ним	3	2
86	если бы	9	2
87	к этому	2	2
88	отношению к	11	2
89	литературы и	4	2
90	в то	2	2
91	до сих	3	2
92	и к	4	2
93	относится к	2	2
94	все же	4	2
95	сих пор	3	2
96	не остается	2	2
97	как в	5	2
98	бы не	2	2
99	и для	3	2
100	в каком	3	2
101	отношении к	3	2
