N	2gram	Medvedev_U_1	StatiiOP
1	и в	14	44
2	в том	2	36
3	том что	2	29
4	в этом	7	21
5	то что	7	18
6	не только	10	18
7	было бы	3	17
8	и не	8	16
9	а не	10	16
10	может быть	6	15
11	в области	3	14
12	не в	2	12
13	у нас	3	11
14	в этой	4	11
15	самом деле	2	11
16	что он	2	10
17	но и	4	10
18	но в	3	10
19	только в	2	10
20	с другой	4	9
21	если бы	2	9
22	в то	3	9
23	как и	3	9
24	в его	2	9
25	все же	3	8
26	не может	7	8
27	это не	3	8
28	прежде всего	8	7
29	в самом	2	7
30	сих пор	2	7
31	до сих	2	7
32	другой стороны	3	7
33	таким образом	2	7
34	этом отношении	2	7
35	но это	2	6
36	для него	3	6
37	что и	2	6
38	в своей	3	6
39	хотя бы	5	6
40	что мы	2	5
41	все это	5	5
42	вряд ли	3	5
43	то же	5	5
44	этой области	3	5
45	и то	3	5
46	тем что	2	5
47	могут быть	2	5
48	в частности	3	4
49	что она	2	4
50	бы и	2	4
51	же время	3	4
52	должна была	2	4
53	как раз	2	4
54	в россии	4	4
55	на эту	2	4
56	и с	2	3
57	в конце	2	3
58	должна быть	2	3
59	материал для	2	3
60	но не	2	3
61	и для	2	3
62	не все	2	3
63	и только	5	3
64	к сожалению	3	3
65	вопроса о	2	3
66	между тем	2	3
67	истории литературы	3	2
68	что все	2	2
69	а как	2	2
70	всех этих	2	2
71	при таком	2	2
72	материала и	2	2
73	даже и	2	2
74	превращается в	2	2
75	по крайней	2	2
76	смысле этого	2	2
77	крайней мере	2	2
78	по существу	2	2
79	если не	2	2
80	литературы и	2	2
81	очевидно не	2	2
82	в сторону	2	2
83	конечно не	4	2
84	для этого	3	2
85	более чем	2	2
86	и у	2	2
87	мы не	2	2
88	ничего не	2	2
89	в себе	2	2
