N	2gram	Berdyaev_O_1	Problemy
1	и не	13	31
2	и в	19	29
3	в его	7	24
4	может быть	11	24
5	а не	11	22
6	в этом	12	22
7	т е	4	21
8	как бы	3	19
9	в нем	10	19
10	для него	5	18
11	у достоевского	19	16
12	не только	11	15
13	то что	5	15
14	но и	13	14
15	и его	4	14
16	достоевского не	4	12
17	как и	6	12
18	достоевского в	3	12
19	не может	4	12
20	в самом	5	10
21	из подполья	11	10
22	с его	4	9
23	это не	3	9
24	все же	2	9
25	все эти	4	9
26	романов достоевского	2	8
27	в своем	2	8
28	до конца	7	8
29	по себе	2	8
30	что он	3	8
31	что в	4	8
32	в своей	2	8
33	потому что	9	8
34	в том	5	8
35	о достоевском	2	7
36	прежде всего	9	7
37	том что	2	7
38	не в	11	7
39	так и	2	7
40	достоевского и	5	7
41	а в	5	7
42	и на	2	7
43	в себе	3	7
44	в романах	4	7
45	но в	2	7
46	произведений достоевского	2	6
47	все это	6	6
48	не могут	3	6
49	его героев	2	6
50	к нему	3	6
51	в единстве	2	6
52	самого достоевского	3	6
53	достоевского но	2	6
54	в самой	9	6
55	могут быть	3	6
56	этого мира	2	6
57	его в	2	6
58	и потому	2	6
59	так как	2	6
60	романах достоевского	3	5
61	творчество достоевского	2	5
62	было бы	3	5
63	еще не	3	5
64	и о	2	5
65	у него	22	5
66	он не	7	5
67	мысли и	3	5
68	в творчестве	5	5
69	для достоевского	5	5
70	с ним	3	5
71	ничего не	2	5
72	что и	2	4
73	ивана карамазова	7	4
74	и с	2	4
75	и для	2	4
76	не было	9	4
77	достоевского к	2	4
78	тем что	2	4
79	должно быть	2	4
80	в этой	5	4
81	человека в	11	4
82	что же	2	4
83	уже в	2	3
84	он сам	4	3
85	в человеке	9	3
86	никогда не	9	3
87	все в	4	3
88	достоевского с	2	3
89	достоевский не	4	3
90	достоевского нет	2	3
91	все что	3	3
92	герои достоевского	4	3
93	в уста	2	3
94	достоевского было	3	3
95	в своих	3	3
96	сказать что	2	3
97	он в	2	3
98	достоевский был	3	3
99	как к	2	3
100	и этим	2	3
101	человек и	4	2
102	хотя бы	3	2
103	и от	3	2
104	с которой	2	2
105	человеческого духа	3	2
106	вопрос о	10	2
107	и нет	2	2
108	и ее	3	2
109	и к	2	2
110	не есть	2	2
111	так что	2	2
112	достоевского он	7	2
113	чем в	2	2
114	подполья и	3	2
115	него не	2	2
116	на западе	2	2
117	ведь это	2	2
118	него в	5	2
119	особенность достоевского	2	2
120	отношение к	5	2
121	записок из	5	2
122	достоевским и	2	2
123	одно из	2	2
124	но он	7	2
125	и есть	3	2
126	в истории	2	2
127	в россии	5	2
128	в которой	2	2
