N	3gram	Vinokur_Ku_2	Vvedenie
1	и т д	14	36
2	для того чтобы	8	20
3	в том что	10	12
4	но также и	2	9
5	тем не менее	5	8
6	не может быть	4	8
7	в этом смысле	5	8
8	то же время	3	6
9	в самом деле	7	6
10	в то же	3	6
11	и т п	24	5
12	с другой стороны	7	5
13	в широком смысле	2	5
14	по крайней мере	6	4
15	на этот вопрос	2	4
16	не только в	4	4
17	можно было бы	9	4
18	само по себе	5	4
19	в этом случае	2	4
20	в этом отношении	3	4
21	во всяком случае	5	4
22	так или иначе	2	4
23	и в том	2	3
24	в свое время	2	3
25	можно сказать что	2	3
26	и тем не	4	3
27	большей или меньшей	3	3
28	и в самом	2	3
29	вместе с тем	2	3
30	но все же	2	3
31	в конце концов	3	2
32	чтобы понять что	2	2
33	на этой почве	3	2
34	с точки зрения	8	2
35	точно так же	3	2
36	не говоря уже	2	2
37	в данном отношении	2	2
38	хотя бы и	2	2
39	в связи с	3	2
40	в соответствии с	2	2
41	потому что он	2	2
