N	2gram	Losev_Prob_2	Mirosoze
1	может быть	18	30
2	не только	24	29
3	и в	35	28
4	не может	13	28
5	но и	16	25
6	а не	10	25
7	он не	2	24
8	в этом	17	20
9	не было	3	18
10	не в	2	16
11	потому что	13	16
12	в ней	2	15
13	и есть	4	14
14	и это	5	12
15	в самом	5	11
16	и не	37	11
17	что в	11	10
18	в своем	4	10
19	был бы	6	10
20	прежде всего	11	10
21	и все	5	10
22	человек не	2	10
23	что он	4	10
24	было бы	8	10
25	с тем	3	9
26	в его	7	9
27	не есть	33	9
28	из самых	2	8
29	но не	4	8
30	не был	4	7
31	того что	12	7
32	в конце	7	7
33	но в	6	7
34	нет ничего	2	7
35	к нему	2	7
36	в себе	5	7
37	он сам	3	6
38	в том	12	6
39	в этой	9	6
40	все это	4	6
41	лишь в	3	6
42	и на	5	6
43	вместе с	2	6
44	только в	14	6
45	не могут	4	5
46	у нас	18	5
47	как и	5	5
48	то что	38	5
49	нет и	3	5
50	уже в	3	4
51	в этих	4	4
52	не знает	3	4
53	человека но	2	4
54	смысле слова	7	4
55	ни с	2	4
56	в их	3	4
57	и по	3	4
58	а в	4	4
59	точки зрения	2	4
60	и этот	3	4
61	в них	2	4
62	один из	3	4
63	это и	3	4
64	она не	3	4
65	что и	2	4
66	есть не	6	4
67	уже не	8	4
68	тем что	4	4
69	значит что	4	4
70	к тому	3	3
71	для нас	9	3
72	это значит	4	3
73	но если	4	3
74	в него	2	3
75	и их	3	3
76	в свете	3	3
77	только и	3	3
78	не имеет	7	3
79	не так	2	3
80	должно быть	2	3
81	с этим	5	3
82	его в	3	3
83	так как	7	3
84	то есть	39	3
85	и с	10	3
86	для них	3	3
87	том что	19	3
88	учение о	2	3
89	ничего не	10	3
90	конечно не	2	3
91	на том	3	3
92	бы и	7	3
93	будто бы	5	3
94	хотя бы	12	3
95	по своему	5	2
96	мы еще	3	2
97	учению о	2	2
98	вообще не	4	2
99	и от	3	2
100	вопрос о	3	2
101	с самим	3	2
102	что без	2	2
103	о чем	6	2
104	для того	3	2
105	и мы	2	2
106	в виду	8	2
107	себе и	2	2
108	отличается от	2	2
109	все эти	7	2
110	и что	13	2
111	есть только	8	2
112	также и	12	2
113	сказать что	24	2
114	даже и	18	2
115	самого себя	2	2
116	в истории	3	2
117	как бы	4	2
118	о том	18	2
119	не значит	2	2
120	когда мы	6	2
121	бы в	3	2
122	не существует	6	2
123	в основе	3	2
124	с которой	3	2
125	если бы	4	2
126	чего же	2	2
127	только один	3	2
128	и уж	5	2
129	в то	6	2
130	все что	3	2
131	ведь это	2	2
132	как будто	6	2
133	до сих	4	2
134	никто не	3	2
135	и к	3	2
136	о нем	2	2
137	относится к	6	2
138	еще в	2	2
139	все же	8	2
140	сих пор	4	2
141	мысли и	2	2
142	оказывается что	3	2
143	прийти к	2	2
144	и самый	4	2
145	входит в	2	2
146	разного рода	4	2
147	бы не	3	2
148	чтобы не	2	2
149	в той	2	2
150	того чтобы	2	2
151	и как	4	2
152	и для	6	2
153	конце концов	7	2
154	в каком	4	2
155	от его	2	2
156	не все	4	2
