N	2gram	Losev_Prob_3	Myslijsy
1	то есть	34	34
2	потому что	25	33
3	то что	23	29
4	может быть	28	26
5	таким образом	9	24
6	в том	21	23
7	и в	44	23
8	в этом	17	23
9	в слове	2	22
10	и не	35	18
11	что в	8	17
12	при этом	4	15
13	только в	19	15
14	для нас	16	14
15	как и	10	14
16	в себе	8	14
17	то же	13	14
18	того что	8	14
19	так как	9	14
20	если бы	3	13
21	том что	12	12
22	не было	5	12
23	а не	18	12
24	по себе	25	11
25	но и	10	11
26	не в	13	11
27	не может	7	11
28	и потому	7	10
29	что мы	8	10
30	не только	14	10
31	что слово	2	10
32	тем что	4	10
33	мы можем	6	10
34	не есть	35	9
35	в своем	5	8
36	было бы	8	8
37	то это	10	8
38	другими словами	6	8
39	мы не	7	8
40	сказать что	16	8
41	о том	6	8
42	но в	12	8
43	с тем	5	7
44	что это	3	7
45	это не	9	7
46	на то	3	7
47	в нем	9	7
48	что и	9	7
49	и что	7	7
50	вовсе не	37	7
51	и т	13	7
52	могут быть	2	7
53	как в	5	7
54	мы говорим	4	7
55	с этим	2	7
56	что такое	3	7
57	этого слова	5	7
58	и к	6	6
59	вместе с	2	6
60	когда мы	15	6
61	в которой	2	6
62	так и	10	6
63	уже в	3	5
64	по крайней	5	5
65	только тогда	2	5
66	так что	12	5
67	есть только	4	5
68	само по	3	5
69	для него	3	5
70	хотя и	5	5
71	в его	9	5
72	как бы	9	5
73	крайней мере	5	5
74	этом случае	5	5
75	что же	8	5
76	есть нечто	8	5
77	все это	5	5
78	не менее	10	5
79	а в	5	5
80	с ним	7	5
81	во всяком	9	5
82	тем более	3	5
83	говорить о	3	5
84	и то	14	5
85	слова и	3	5
86	есть в	3	5
87	не имеет	9	5
88	не то	2	5
89	и более	2	4
90	каждый раз	3	4
91	и все	3	4
92	что все	2	4
93	что он	9	4
94	есть не	5	4
95	есть уже	3	4
96	тем не	10	4
97	есть то	3	4
98	до сих	2	4
99	на котором	2	4
100	можно сказать	6	4
101	и может	2	4
102	по поводу	2	4
103	со своим	2	4
104	и о	5	4
105	от того	2	4
106	в котором	2	4
107	сам по	6	4
108	и тем	9	4
109	в сравнении	2	4
110	сих пор	2	4
111	на основании	2	4
112	а именно	8	4
113	да и	5	4
114	только на	5	4
115	то и	5	4
116	в той	3	4
117	только потому	2	4
118	тем самым	5	4
119	хотя бы	3	4
120	так же	5	4
121	с другими	3	4
122	в таком	5	4
123	между собою	2	4
124	точки зрения	5	4
125	в каком	4	4
126	в данном	9	4
127	в то	9	4
128	же самое	9	4
129	могли бы	4	4
130	если же	3	4
131	его в	3	4
132	мы имеем	2	4
133	и с	9	4
134	при помощи	8	3
135	и есть	5	3
136	никогда не	6	3
137	связи с	8	3
138	в этих	2	3
139	и состоит	2	3
140	с нею	2	3
141	нельзя сказать	2	3
142	именно в	2	3
143	но это	8	3
144	кроме того	3	3
145	еще не	5	3
146	и если	6	3
147	мы уже	4	3
148	к тому	3	3
149	в самом	3	3
150	между прочим	2	3
151	образы и	3	3
152	и следовательно	2	3
153	мы в	4	3
154	в виду	10	3
155	всяком случае	6	3
156	на себе	3	3
157	но уже	3	3
158	поэтический образ	3	3
159	нет ничего	6	3
160	в процессе	2	3
161	только что	2	3
162	языка и	4	3
163	и только	6	3
164	т д	13	3
165	все эти	7	3
166	все равно	3	3
167	что у	3	3
168	на самом	7	3
169	уже не	7	3
170	самом деле	3	3
171	и по	2	3
172	а мы	2	3
173	это есть	3	3
174	этот вопрос	3	3
175	и значение	3	3
176	и до	2	3
177	в которых	3	3
178	то в	3	3
179	даже и	16	3
180	в искусстве	4	3
181	с точки	2	3
182	образа и	4	3
183	иное как	4	2
184	образ или	2	2
185	из себя	3	2
186	и как	3	2
187	но даже	4	2
188	в нашем	5	2
189	а может	2	2
190	и без	4	2
191	тому что	4	2
192	сами по	6	2
193	с другой	7	2
194	то он	2	2
195	точно так	3	2
196	бы только	2	2
197	в наших	2	2
198	а как	2	2
199	значение и	5	2
200	это значение	2	2
201	и здесь	5	2
202	в ее	4	2
203	в самой	2	2
204	у нас	10	2
205	из этого	3	2
206	об этом	3	2
207	мы и	2	2
208	только о	3	2
209	от него	2	2
210	что даже	4	2
211	мы могли	4	2
212	по своему	2	2
213	действительность и	3	2
214	есть и	2	2
215	имеет свою	3	2
216	но что	2	2
217	не имели	2	2
218	не что	4	2
219	она не	3	2
220	данного слова	4	2
221	эта последняя	2	2
222	нам представляется	2	2
223	которые мы	3	2
224	в ней	5	2
225	он не	8	2
226	не значит	3	2
227	никто не	2	2
228	есть от	2	2
229	как оно	3	2
230	и это	9	2
231	и сами	2	2
232	природы и	2	2
233	данном случае	7	2
234	указывает на	7	2
235	художественное произведение	8	2
236	даже не	2	2
237	как она	2	2
238	и вполне	5	2
239	происходит в	2	2
240	на ступени	2	2
241	и для	2	2
242	если мы	16	2
243	дело не	2	2
244	но эта	3	2
245	как мы	8	2
246	из которых	2	2
247	и у	2	2
248	на этот	4	2
249	и даже	14	2
250	и притом	4	2
251	не так	3	2
252	для самого	2	2
253	друг друга	2	2
254	и его	5	2
255	можно было	4	2
256	нас в	4	2
257	может иметь	3	2
258	в виде	6	2
259	и при	2	2
260	том смысле	3	2
261	это можно	2	2
262	что иное	4	2
263	и вообще	8	2
264	бы в	2	2
265	мы должны	7	2
266	от его	2	2
267	в таких	3	2
268	таком случае	4	2
269	быть и	3	2
270	случае когда	2	2
271	из него	2	2
272	это было	2	2
273	и сама	2	2
274	ни к	3	2
