N	2gram	Berdyaev_O_1	Psycholo
1	то что	5	44
2	и в	19	33
3	в этом	12	28
4	как бы	3	25
5	потому что	9	24
6	для того	3	23
7	может быть	11	22
8	том что	2	22
9	того чтобы	4	22
10	что в	4	21
11	в том	5	21
12	о том	3	20
13	что он	3	20
14	и не	13	13
15	сказать что	2	13
16	все это	6	13
17	в самом	5	12
18	и все	10	12
19	так как	2	12
20	было бы	3	12
21	что все	2	11
22	он не	7	11
23	не может	4	10
24	в его	7	10
25	в этой	5	9
26	по себе	2	9
27	в своем	2	7
28	до конца	7	7
29	так что	2	7
30	в нем	10	7
31	не только	11	7
32	когда он	3	7
33	это не	3	6
34	в самой	9	6
35	что они	2	6
36	все эти	4	6
37	и вот	3	6
38	но он	7	6
39	у него	22	6
40	а не	11	6
41	в себе	3	6
42	никогда не	9	5
43	что для	2	5
44	и на	2	5
45	с ним	3	5
46	как и	6	5
47	и его	4	5
48	все же	2	5
49	и есть	3	4
50	что у	2	4
51	а в	5	4
52	того что	3	4
53	с тем	2	4
54	к этому	2	4
55	никто не	3	4
56	и о	2	4
57	в своей	2	4
58	ее в	2	4
59	что не	4	4
60	в которой	2	4
61	это было	3	4
62	должно быть	2	3
63	но и	13	3
64	в уста	2	3
65	не было	9	3
66	в своих	3	3
67	его в	2	3
68	должен был	2	3
69	и из	2	3
70	что и	2	3
71	в дневнике	2	3
72	так и	2	3
73	и он	8	3
74	к этой	2	3
75	и для	2	3
76	тем что	2	3
77	уже в	2	2
78	с чем	2	2
79	и от	3	2
80	прежде всего	9	2
81	вопрос о	10	2
82	самого конца	2	2
83	вместо того	2	2
84	только одно	3	2
85	до самого	5	2
86	не имеет	2	2
87	его не	2	2
88	и с	2	2
89	одно из	2	2
90	не в	11	2
91	человеческой природы	20	2
92	и потому	2	2
93	но в	2	2
94	с его	4	2
95	и к	2	2
96	в ее	2	2
97	в легенде	4	2
98	которую он	2	2
99	не все	2	2
100	нем нет	3	2
101	хотя бы	3	2
102	и то	2	2
103	и ее	3	2
104	много раз	2	2
105	в русской	3	2
106	те которые	2	2
107	ничего не	2	2
