N	3gram	Tiupa_Anal_1	KulturaY
1	и т п	3	18
2	в том что	9	15
3	для того чтобы	3	15
4	с точки зрения	4	9
5	по отношению к	5	8
6	в том чтобы	7	8
7	в самом деле	2	7
8	с другой стороны	2	6
9	мере в какой	2	5
10	в этом отношении	2	5
11	о том что	3	5
12	в той мере	2	5
13	той мере в	2	5
14	том что он	2	4
15	не в том	3	4
16	состоит в том	3	3
17	не может быть	16	3
18	того или иного	3	3
19	и того же	2	2
20	того что в	2	2
21	то же время	6	2
22	одного и того	2	2
23	в свое время	2	2
24	в то же	8	2
25	в том и	2	2
