N	2gram	Potebnia_M_3	RusskieA
1	и в	30	29
2	что в	17	22
3	том что	18	22
4	в том	32	22
5	как бы	3	18
6	в других	2	15
7	может быть	28	13
8	так как	13	13
9	во время	2	12
10	там же	6	12
11	как и	10	11
12	в этом	10	11
13	все это	4	10
14	и с	2	10
15	не только	21	10
16	о том	2	9
17	а в	12	9
18	показывает что	2	8
19	или на	2	8
20	но и	19	8
21	с в	2	8
22	его в	3	8
23	мы видели	4	7
24	как в	10	7
25	или в	3	7
26	с тем	7	6
27	мы не	9	6
28	же в	2	6
29	еще не	5	6
30	для того	4	6
31	для нас	20	6
32	вместе с	12	6
33	таким образом	14	6
34	при этом	3	6
35	того чтобы	3	6
36	и на	3	6
37	потому что	46	5
38	к этому	3	5
39	то что	18	5
40	и что	10	5
41	но не	7	5
42	и т	5	5
43	не может	6	5
44	или же	4	5
45	т д	3	5
46	именно в	3	4
47	в них	5	4
48	и все	3	4
49	не все	4	4
50	тогда когда	9	4
51	уже не	6	4
52	так что	7	4
53	не в	15	4
54	из них	6	4
55	к нему	3	4
56	том же	2	4
57	так же	3	4
58	то и	6	4
59	то же	23	4
60	а не	15	4
61	в таком	3	4
62	в которых	2	4
63	их в	2	4
64	в виде	2	4
65	далеко не	4	4
66	что по	2	4
67	тем что	7	3
68	и от	4	3
69	не всегда	2	3
70	должно было	2	3
71	или с	2	3
72	в ее	2	3
73	за ним	3	3
74	она не	2	3
75	того что	18	3
76	было бы	9	3
77	и о	2	3
78	что она	3	3
79	в котором	4	3
80	с другими	5	3
81	не имеет	6	3
82	в природе	2	3
83	связь с	3	3
84	только тогда	9	3
85	что для	4	3
86	и по	4	3
87	друг друга	3	3
88	как мы	7	3
89	выше мы	2	3
90	и после	2	3
91	тому как	5	3
92	между тем	9	3
93	подобно тому	2	3
94	в этой	2	3
95	что это	4	3
96	не менее	5	2
97	с этой	2	2
98	связь между	2	2
99	связи с	2	2
100	об этом	2	2
101	могут быть	3	2
102	с другой	7	2
103	не столько	2	2
104	из этих	9	2
105	в образе	3	2
106	это в	2	2
107	прежде всего	3	2
108	что и	13	2
109	под ним	2	2
110	к ней	5	2
111	что с	2	2
112	это и	2	2
113	и как	5	2
114	и при	4	2
115	очевидно что	5	2
116	то время	4	2
117	одной стороны	3	2
118	только как	5	2
119	нечто вроде	2	2
120	тем не	3	2
121	один из	4	2
122	все же	2	2
123	в своей	2	2
124	все в	2	2
125	не к	4	2
126	том чтобы	2	2
127	природы и	2	2
128	в форме	2	2
129	что при	3	2
130	многие другие	2	2
131	в их	2	2
132	как средство	2	2
133	а и	4	2
134	тогда как	2	2
135	того как	4	2
136	а с	2	2
137	не было	4	2
138	с одной	7	2
139	образом в	3	2
140	там где	3	2
141	тем и	3	2
142	должно быть	5	2
143	а к	3	2
144	так в	2	2
145	быть только	4	2
146	и то	8	2
147	людей и	2	2
148	только одну	2	2
149	одно из	5	2
150	с этим	6	2
151	в то	10	2
152	но вместе	4	2
153	когда мы	2	2
154	заметить что	3	2
155	в которой	3	2
156	та же	2	2
157	есть в	3	2
158	не можем	3	2
