N	2gram	Bakhtin_fo_2	Analitik
1	в качестве	3	31
2	может быть	7	29
3	в том	10	27
4	не может	2	22
5	и не	9	21
6	в частности	5	19
7	и в	46	18
8	а не	4	17
9	но и	9	17
10	отнюдь не	4	15
11	не только	11	15
12	не в	9	14
13	как и	8	13
14	в его	8	13
15	в этом	22	13
16	том что	4	12
17	при этом	6	12
18	в себе	4	11
19	то есть	10	11
20	но не	5	10
21	то же	8	9
22	а в	3	9
23	в то	5	9
24	в мире	4	8
25	в той	2	8
26	но в	10	8
27	к тому	3	7
28	это не	2	6
29	прежде всего	14	6
30	или иной	2	6
31	же время	4	6
32	в сущности	2	6
33	далеко не	2	6
34	то что	7	6
35	в себя	2	6
36	в основе	6	6
37	точки зрения	10	6
38	только в	11	6
39	мы имеем	2	6
40	и как	3	5
41	в этой	2	5
42	что в	5	5
43	имеет место	3	5
44	как бы	10	5
45	в их	3	5
46	и т.п	2	5
47	лишь в	2	5
48	и его	12	5
49	и на	7	5
50	о том	4	5
51	того что	3	4
52	и более	2	4
53	могут быть	2	4
54	себя и	3	4
55	с другой	2	4
56	по себе	2	4
57	в литературе	2	4
58	того же	3	4
59	для того	8	4
60	все же	6	4
61	вместе с	9	4
62	так и	7	4
63	во времени	3	4
64	именно в	2	4
65	уже не	3	4
66	с точки	8	4
67	в другом	3	4
68	с ним	4	4
69	место в	4	3
70	смысла и	2	3
71	том числе	3	3
72	человек в	2	3
73	и есть	2	3
74	и все	6	3
75	в нем	5	3
76	и к	2	3
77	что он	3	3
78	и т	14	3
79	еще не	6	3
80	он не	5	3
81	в котором	4	3
82	если в	2	3
83	что и	3	3
84	таким образом	3	3
85	с одной	2	3
86	того чтобы	8	3
87	автора и	2	3
88	т п	11	3
89	как он	2	3
90	а также	3	3
91	только для	2	2
92	никогда не	6	2
93	все эти	5	2
94	не является	3	2
95	из этих	4	2
96	вовсе не	13	2
97	как уже	3	2
98	можно сказать	2	2
99	самое время	3	2
100	то в	2	2
101	и потому	2	2
102	должно быть	5	2
103	отношение к	3	2
104	для него	3	2
105	в пределах	5	2
106	с анализом	2	2
107	было бы	2	2
108	для чего	2	2
109	и та	2	2
110	и о	2	2
111	в ряду	4	2
112	каждом из	2	2
113	нет и	3	2
114	сами по	2	2
115	один из	2	2
116	из них	8	2
117	и до	2	2
118	здесь не	2	2
119	на этом	2	2
120	отношения к	4	2
121	этом отношении	2	2
122	в двух	2	2
123	и по	3	2
124	особенно в	2	2
125	роль в	3	2
126	как мы	6	2
127	на основе	3	2
128	каждый из	2	2
129	также и	4	2
130	тем более	3	2
131	в данном	2	2
132	же самое	3	2
133	романа в	2	2
134	этом ряду	2	2
135	жизни но	2	2
136	в эпизоде	7	2
137	так как	6	2
138	потому что	8	2
139	и с	6	2
140	мире и	2	2
141	мира в	3	2
