N	2gram	Vinokur_St_2	Narrotol
1	не только	19	26
2	а не	5	17
3	но и	19	15
4	тогда как	2	15
5	в том	27	14
6	при этом	2	14
7	в качестве	5	14
8	и не	9	14
9	том что	27	13
10	и в	29	13
11	в этом	21	13
12	такого рода	2	12
13	в частности	4	11
14	только в	2	11
15	может быть	2	10
16	в данном	2	10
17	своего рода	5	9
18	к тому	10	9
19	так и	9	9
20	то что	11	8
21	в себе	2	8
22	не может	2	8
23	не в	4	8
24	никогда не	3	6
25	в своем	9	6
26	прежде всего	5	6
27	и к	4	6
28	того что	5	6
29	в его	13	6
30	со стороны	2	6
31	все же	6	6
32	как бы	5	6
33	а также	2	6
34	ничего не	4	6
35	но в	8	6
36	точки зрения	5	5
37	не столько	7	5
38	тем не	2	5
39	что он	13	5
40	хотя и	4	5
41	он не	9	5
42	в котором	7	5
43	я не	7	5
44	в нем	4	5
45	как в	3	5
46	в отличие	2	5
47	таким образом	10	5
48	в той	5	5
49	с другой	4	5
50	отличие от	2	5
51	в то	2	5
52	о том	17	5
53	что это	3	4
54	не менее	3	4
55	если бы	2	4
56	в конце	2	4
57	об этом	6	4
58	тому же	3	4
59	как и	2	4
60	как у	3	4
61	времени и	4	4
62	что в	19	4
63	для него	4	4
64	не является	3	4
65	не к	2	4
66	в своей	7	4
67	в ее	2	4
68	то же	2	4
69	в какой	2	4
70	в другом	4	4
71	в этой	2	4
72	как это	2	4
73	в известном	3	3
74	а как	4	3
75	с его	2	3
76	тому что	7	3
77	а к	2	3
78	что я	2	3
79	что они	2	3
80	но не	3	3
81	пребывания в	2	3
82	и сам	2	3
83	как раз	8	3
84	только к	2	3
85	внимание на	4	3
86	все эти	2	3
87	самом деле	3	3
88	того чтобы	6	3
89	и даже	3	3
90	и по	3	3
91	и его	6	3
92	с этой	2	3
93	этом отношении	9	3
94	никак не	2	3
95	сказать что	2	3
96	между тем	5	3
97	действующих лиц	4	3
98	же как	3	2
99	только не	2	2
100	и дело	2	2
101	о чем	5	2
102	по словам	4	2
103	должен был	4	2
104	что у	4	2
105	хотя бы	3	2
106	но также	4	2
107	с нею	3	2
108	вовсе не	6	2
109	и здесь	3	2
110	на то	2	2
111	той мере	2	2
112	к своему	2	2
113	не должен	2	2
114	говорит о	2	2
115	присутствует в	2	2
116	только по	2	2
117	и т	9	2
118	в начале	3	2
119	и более	2	2
120	по своему	2	2
121	что с	2	2
122	было бы	5	2
123	по поводу	8	2
124	и он	3	2
125	в самом	7	2
126	несмотря на	2	2
127	в обоих	3	2
128	у меня	3	2
129	от его	2	2
130	оно не	3	2
131	не могло	3	2
132	что и	2	2
133	раз в	2	2
134	в процессе	2	2
135	подчеркнуть что	3	2
136	давно уже	3	2
137	а с	3	2
138	если не	2	2
139	именно в	4	2
140	у нас	3	2
141	в течение	6	2
142	на самом	3	2
143	они не	2	2
144	и что	6	2
145	только что	2	2
146	с точки	2	2
147	не имеет	2	2
148	по его	3	2
149	так же	3	2
150	как на	9	2
151	это был	2	2
152	но это	3	2
153	в результате	2	2
154	в ней	7	2
155	мере в	2	2
156	но он	3	2
157	т п	3	2
158	во время	2	2
159	как он	2	2
160	потому что	9	2
161	в области	2	2
