N	3gram	Potebnia_M_4	Problema
1	с точки зрения	3	11
2	тем не менее	4	10
3	в том что	7	8
4	по крайней мере	5	6
5	сам по себе	4	6
6	то же самое	4	6
7	то есть в	2	6
8	в данном случае	2	5
9	во всяком случае	3	4
10	не только не	3	4
11	мы имеем дело	2	3
12	о том что	5	3
13	и т д	3	3
14	то и другое	2	3
15	только в том	2	3
16	вместе с тем	3	3
17	на самом деле	3	3
18	слова то есть	3	2
19	в то же	3	2
20	сами по себе	2	2
21	хотя бы и	2	2
22	не что иное	2	2
23	что иное как	2	2
24	в том смысле	2	2
25	для того чтобы	4	2
