N	2gram	Voloshinov_1	Marksizm
1	точки зрения	13	34
2	может быть	13	26
3	и не	16	26
4	не может	13	24
5	с точки	10	20
6	и в	15	19
7	и его	15	19
8	таким образом	21	17
9	в этом	13	16
10	как бы	11	15
11	в процессе	4	14
12	прежде всего	11	13
13	как мы	10	13
14	как и	6	12
15	и пр	9	12
16	так и	10	11
17	если мы	5	11
18	и для	2	11
19	в самом	6	10
20	в нем	4	10
21	– в	13	10
22	и т.п	2	10
23	самом деле	7	10
24	для него	5	9
25	внутренней речи	3	9
26	только в	6	9
27	при этом	7	8
28	но и	4	8
29	до сих	3	8
30	не только	5	8
31	все же	5	8
32	то что	10	8
33	– это	15	8
34	сих пор	3	8
35	все эти	9	7
36	но в	9	7
37	психологии и	2	7
38	в ее	4	7
39	во всех	8	7
40	то же	7	7
41	а не	2	7
42	с помощью	9	6
43	в том	4	6
44	– не	7	6
45	отнюдь не	2	6
46	в основном	2	6
47	в его	9	6
48	на почве	2	6
49	мы не	4	6
50	так сказать	3	6
51	ничего не	2	6
52	именно в	3	5
53	мы знаем	7	5
54	не в	4	5
55	до конца	5	5
56	конечно не	3	5
57	те же	4	5
58	рядом с	2	5
59	и потому	8	5
60	и все	4	5
61	к этому	7	5
62	вовсе не	2	5
63	за пределы	2	5
64	того чтобы	2	5
65	хотя бы	7	5
66	во всяком	4	5
67	ничего общего	2	5
68	может стать	3	5
69	самого начала	5	4
70	что в	6	4
71	не менее	3	4
72	в отношении	2	4
73	объективная психология	5	4
74	с самого	7	4
75	в ней	5	4
76	– его	2	4
77	не является	3	4
78	это –	9	4
79	от того	3	4
80	а в	6	4
81	и на	3	4
82	тот же	5	4
83	сказать что	6	4
84	чем же	5	4
85	жизни в	3	4
86	с этим	6	4
87	по себе	2	4
88	в условиях	3	4
89	– говорит	2	4
90	– и	5	4
91	еще не	7	4
92	было бы	6	4
93	и тот	2	4
94	не будем	2	4
95	что же	4	4
96	как в	3	4
97	мысли и	4	4
98	только на	2	4
99	между ними	2	4
100	оно может	3	4
101	в данном	3	4
102	выражение в	2	4
103	далеко не	4	4
104	психической жизни	7	4
105	этом отношении	2	3
106	и есть	2	3
107	формы и	2	3
108	можно сказать	4	3
109	войти в	3	3
110	из основных	2	3
111	теперь мы	4	3
112	в дальнейшем	2	3
113	высшей степени	2	3
114	в большинстве	4	3
115	же время	5	3
116	он –	2	3
117	на язык	2	3
118	этот процесс	4	3
119	все это	5	3
120	в систему	2	3
121	по отношению	11	3
122	не было	4	3
123	того что	2	3
124	с другими	5	3
125	между тем	2	3
126	нуждается в	2	3
127	в то	6	3
128	его в	8	3
129	в высшей	2	3
130	большинстве случаев	5	3
131	ее целом	3	3
132	не существует	3	3
133	сознания и	5	3
134	не могут	3	3
135	в каком	3	3
136	и к	7	3
137	том что	5	3
138	более того	2	3
139	и при	3	3
140	социальной жизни	2	3
141	мы должны	7	3
142	совершенно не	2	3
143	он не	4	3
144	в первом	2	3
145	в своей	9	3
146	быть и	2	3
147	в истории	3	3
148	– все	4	3
149	на самом	2	3
150	сводится к	3	3
151	должны быть	3	3
152	к этим	2	3
153	но все	2	3
154	и ее	3	3
155	один и	2	3
156	слова и	2	3
157	в области	3	3
158	в узком	2	2
159	никогда не	7	2
160	второй –	2	2
161	тому что	3	2
162	в своем	2	2
163	точку зрения	4	2
164	что все	5	2
165	тем не	2	2
166	ни в	6	2
167	узком смысле	2	2
168	первым и	2	2
169	в свою	2	2
170	из важнейших	2	2
171	одним из	3	2
172	для всех	2	2
173	но если	2	2
174	всяком случае	3	2
175	со всею	3	2
176	и др	8	2
177	в нашем	3	2
178	с ее	3	2
179	– а	2	2
180	на этой	2	2
181	жизни и	5	2
182	внешнего опыта	3	2
183	и только	4	2
184	– как	2	2
185	во втором	3	2
186	же –	2	2
187	и даже	2	2
188	должно быть	2	2
189	в своих	4	2
190	в одной	2	2
191	из этих	4	2
192	так как	9	2
193	бы в	2	2
194	между индивидами	3	2
195	в сознании	3	2
196	и с	7	2
197	в основе	3	2
198	для них	3	2
199	если бы	3	2
200	между собой	4	2
201	если он	5	2
202	что он	8	2
203	конечно в	2	2
204	в себе	4	2
205	художественный образ	2	2
206	у нас	3	2
207	ко всякому	2	2
208	зависимости от	2	2
209	одна из	3	2
210	в качестве	2	2
211	во внешнем	8	2
212	она не	2	2
213	– с	3	2
214	другими словами	3	2
215	мы уже	5	2
216	к тому	4	2
217	все остальное	2	2
218	явлений и	2	2
219	условиях социальной	2	2
220	что и	2	2
221	отношению к	9	2
222	творчества –	2	2
223	какой степени	2	2
224	не остается	3	2
225	бы и	2	2
226	и всего	2	2
227	и прежде	5	2
228	как раз	2	2
229	следовательно и	2	2
230	человека в	3	2
231	что такое	3	2
232	той же	2	2
233	в таком	3	2
234	мы можем	12	2
235	могут быть	6	2
236	не знает	3	2
237	жизни но	2	2
238	таком случае	2	2
239	из этого	2	2
240	в чем	4	2
241	из него	2	2
