N	2gram	Potebnia_M_2	Sovremen
1	не может	12	17
2	может быть	23	12
3	таким образом	11	11
4	мы не	11	9
5	в каждом	2	8
6	не можем	6	7
7	в этом	8	7
8	и в	24	7
9	и не	19	6
10	как и	7	6
11	мы можем	12	6
12	прежде всего	7	5
13	все эти	2	5
14	как бы	9	4
15	если мы	3	4
16	в целом	3	4
17	вместе с	11	4
18	это не	3	4
19	а в	8	4
20	вопрос о	2	4
21	не только	15	4
22	в том	18	4
23	их в	2	4
24	из них	5	4
25	мы должны	2	4
26	так как	10	4
27	уже в	5	3
28	но мы	3	3
29	самого начала	2	3
30	все же	5	3
31	все это	2	3
32	мы называем	3	3
33	то же	12	3
34	на две	2	3
35	в нем	9	3
36	а не	18	3
37	для нас	31	3
38	у нас	2	3
39	когда мы	2	3
40	с самого	2	3
41	не в	13	3
42	одна из	4	3
43	еще не	4	3
44	ли мы	2	3
45	при этом	13	3
46	было бы	13	3
47	в одном	6	3
48	и все	3	3
49	как он	4	3
50	в себе	10	3
51	само собою	2	3
52	что она	3	3
53	но в	4	3
54	и потому	2	3
55	так сказать	4	2
56	только один	4	2
57	не могут	7	2
58	не знаем	2	2
59	что это	3	2
60	не менее	5	2
61	и есть	2	2
62	в некоторых	4	2
63	у него	2	2
64	можно назвать	2	2
65	в нашем	2	2
66	то и	9	2
67	и во	3	2
68	из этих	4	2
69	тем же	3	2
70	или же	7	2
71	что все	2	2
72	с одной	4	2
73	уже не	4	2
74	в свою	6	2
75	самом деле	2	2
76	и что	4	2
77	что такое	2	2
78	и по	2	2
79	тем не	6	2
80	мы знаем	2	2
81	на другом	2	2
82	той же	3	2
83	мы видим	2	2
84	в таком	4	2
85	но все	2	2
86	такой же	4	2
87	во всяком	7	2
88	свою очередь	6	2
89	на этом	2	2
90	могут быть	8	2
91	с этим	7	2
92	и они	2	2
93	что в	16	2
94	не дает	2	2
95	тот же	5	2
96	некоторое время	2	2
97	с общим	2	2
98	в самом	4	2
99	в которой	5	2
100	в его	2	2
101	всяком случае	7	2
