N	2gram	Tiupa_Lite_1	VrazhdaK
1	в году	13	18
2	не только	24	9
3	в этом	12	8
4	и в	8	8
5	но и	17	7
6	что в	3	7
7	то что	10	7
8	в нем	2	6
9	все же	4	6
10	и даже	3	6
11	как и	6	6
12	но в	3	6
13	то же	5	5
14	не было	3	5
15	и не	12	5
16	у него	3	5
17	между тем	2	5
18	в то	5	5
19	же время	5	5
20	в россии	2	5
21	уже в	5	4
22	у достоевского	2	4
23	как бы	7	4
24	это не	4	4
25	что он	5	4
26	х годов	2	4
27	в своих	4	4
28	может быть	13	4
29	при этом	19	4
30	несмотря на	3	4
31	о том	2	4
32	в виду	3	4
33	я не	7	3
34	с его	5	3
35	связи с	6	3
36	русской литературе	5	3
37	в своем	11	3
38	о себе	4	3
39	в связи	4	3
40	в конце	4	3
41	в том	16	3
42	и его	4	3
43	том что	14	3
44	тем что	2	3
45	в его	7	3
46	далеко не	3	3
47	в русской	10	3
48	его в	3	3
49	одним из	5	3
50	и т.п	4	2
51	в своей	4	2
52	из них	4	2
53	не менее	7	2
54	никогда не	4	2
55	отнюдь не	2	2
56	столь же	4	2
57	как раз	4	2
58	не может	5	2
59	а в	3	2
60	тогда как	13	2
61	таким образом	3	2
62	уже не	7	2
63	от сознания	2	2
64	к себе	3	2
65	не мог	3	2
66	с точки	2	2
67	же в	5	2
68	тем более	2	2
69	в этой	4	2
70	что я	2	2
71	и то	2	2
72	точки зрения	6	2
73	в себе	7	2
74	для него	2	2
75	в нашей	2	2
76	еще не	4	2
77	на это	2	2
78	в мире	2	2
79	одна из	3	2
80	том же	3	2
81	нашего времени	2	2
82	а также	5	2
