N	2gram	Tiupa_Hudo_1	UchenyiS
1	и в	19	14
2	а не	9	10
3	не только	16	10
4	и не	15	8
5	прежде всего	4	8
6	то что	4	7
7	в этом	11	7
8	не может	7	7
9	в искусстве	7	6
10	может быть	14	6
11	эстетического объекта	4	6
12	в художественном	4	5
13	художественного творчества	4	5
14	все это	2	5
15	то же	10	5
16	но и	10	4
17	в этой	2	4
18	конечном счете	5	4
19	в их	5	4
20	с другой	7	4
21	в конечном	5	4
22	но в	7	3
23	как и	2	3
24	и то	4	3
25	истории литературы	2	3
26	не следует	4	3
27	в своей	5	3
28	в частности	13	3
29	произведения искусства	4	3
30	же время	5	3
31	другой стороны	5	3
32	для него	4	3
33	это не	2	3
34	в то	6	3
35	не как	2	3
36	и т.д	3	3
37	в области	6	3
38	тех или	2	2
39	том что	8	2
40	но не	11	2
41	в том	18	2
42	говоря иначе	2	2
43	не все	2	2
44	художественного произведения	3	2
45	с его	6	2
46	не в	7	2
47	и для	2	2
48	этом смысле	3	2
49	не столько	3	2
50	о чем	2	2
51	если бы	3	2
52	не случайно	3	2
53	только в	5	2
54	искусства как	3	2
55	могут быть	4	2
56	что он	3	2
57	в себе	9	2
58	в системе	2	2
59	как раз	3	2
60	в противном	2	2
61	к области	3	2
62	этого термина	2	2
63	в самом	5	2
64	в сторону	2	2
65	в итоге	2	2
66	или иных	2	2
67	по себе	2	2
68	превращается в	2	2
69	сводится к	7	2
70	что она	2	2
71	что и	2	2
72	в его	9	2
73	противном случае	2	2
74	между тем	4	2
75	таким образом	3	2
