N	2gram	Losev_Prob_1	StatiiOP
1	и в	32	44
2	в том	9	36
3	и т	11	30
4	что в	12	30
5	том что	12	29
6	т д	10	21
7	в этом	19	21
8	вовсе не	35	19
9	то что	42	18
10	не только	17	18
11	было бы	8	17
12	а в	4	17
13	о том	11	17
14	и не	31	16
15	а не	15	16
16	может быть	14	15
17	в данном	9	14
18	в области	2	14
19	как в	4	13
20	можно было	3	13
21	не в	4	12
22	у нас	14	11
23	в этой	10	11
24	самом деле	6	11
25	того чтобы	9	11
26	точки зрения	3	11
27	ясно что	3	10
28	для того	8	10
29	что он	7	10
30	но и	9	10
31	но в	14	10
32	только в	7	10
33	в отношении	3	9
34	с другой	3	9
35	если бы	4	9
36	в то	6	9
37	как и	3	9
38	того что	7	9
39	также и	11	9
40	так и	12	9
41	в его	6	9
42	у пушкина	2	8
43	например в	2	8
44	во всех	7	8
45	из них	3	8
46	не может	8	8
47	и его	3	8
48	это не	6	8
49	с точки	3	8
50	но ведь	3	8
51	прежде всего	10	7
52	по поводу	4	7
53	в самом	6	7
54	для нас	5	7
55	сих пор	3	7
56	до сих	3	7
57	другой стороны	3	7
58	таким образом	6	7
59	сказать что	13	7
60	что они	3	7
61	потому что	16	6
62	из этих	2	6
63	так что	6	6
64	но это	8	6
65	для него	2	6
66	в своей	8	6
67	данном случае	8	6
68	что же	9	6
69	именно в	4	6
70	на самом	6	6
71	во всяком	7	6
72	дело в	3	6
73	хотя бы	3	6
74	всяком случае	3	6
75	не менее	19	5
76	никогда не	7	5
77	так же	9	5
78	что мы	13	5
79	совершенно не	6	5
80	в котором	5	5
81	в нем	13	5
82	все это	7	5
83	то же	10	5
84	этой области	2	5
85	и даже	11	5
86	в которых	3	5
87	и то	6	5
88	тем что	7	5
89	нужно сказать	3	5
90	могут быть	2	5
91	все эти	8	5
92	так как	11	5
93	и очень	2	4
94	что это	3	4
95	можно ли	5	4
96	что она	5	4
97	гораздо более	2	4
98	или иного	2	4
99	мы находим	2	4
100	в ее	3	4
101	но все	3	4
102	тем более	5	4
103	является не	2	4
104	и что	9	4
105	в качестве	2	4
106	того или	2	4
107	же и	3	4
108	как раз	13	4
109	но если	2	4
110	как бы	14	4
111	на то	8	4
112	не было	4	4
113	не имеет	2	4
114	как будто	3	4
115	как это	6	4
116	в которой	2	4
117	том как	2	4
118	не являются	5	3
119	не существует	6	3
120	по этому	3	3
121	тому что	4	3
122	для себя	3	3
123	же касается	3	3
124	и с	2	3
125	и так	2	3
126	не является	5	3
127	в конце	6	3
128	ни в	7	3
129	да и	3	3
130	об этом	10	3
131	то в	5	3
132	же как	2	3
133	но не	9	3
134	того же	3	3
135	еще не	9	3
136	что не	3	3
137	и для	4	3
138	общего с	8	3
139	не значит	2	3
140	и тем	13	3
141	в истории	4	3
142	говорит о	3	3
143	а именно	12	3
144	ничего общего	11	3
145	и только	4	3
146	в виде	15	3
147	что для	2	3
148	что оно	3	3
149	тем или	3	3
150	на этот	3	3
151	в таком	9	3
152	и вполне	3	3
153	значит что	3	3
154	в чем	3	3
155	в результате	2	3
156	то или	2	3
157	в каком	3	3
158	и вообще	4	3
159	вопроса о	2	3
160	во многих	2	3
161	без всякой	2	3
162	между тем	2	3
163	с этим	3	3
164	что все	3	2
165	уже в	3	2
166	что ни	2	2
167	совсем не	4	2
168	нисколько не	3	2
169	всех этих	7	2
170	бы мы	3	2
171	в этих	3	2
172	даже и	8	2
173	в случае	3	2
174	имеет ничего	2	2
175	в своем	5	2
176	с которыми	4	2
177	вообще не	2	2
178	хотя в	3	2
179	и во	3	2
180	по крайней	2	2
181	больше чем	2	2
182	крайней мере	2	2
183	этом случае	2	2
184	по существу	2	2
185	если не	4	2
186	литературы и	4	2
187	без всяких	2	2
188	есть в	5	2
189	при этом	6	2
190	быть и	3	2
191	случае не	3	2
192	пушкина что	2	2
193	она не	2	2
194	но именно	3	2
195	со всеми	2	2
196	несмотря на	3	2
197	не хочет	3	2
198	медного всадника	2	2
199	в сущности	2	2
200	между прочим	2	2
201	за пределы	6	2
202	но для	3	2
203	и потому	2	2
204	ведь если	2	2
205	а также	4	2
206	что нет	2	2
207	и уже	3	2
208	тем не	18	2
209	в первом	2	2
210	такого рода	7	2
211	которые в	2	2
212	разница между	2	2
213	без всякого	2	2
214	для этого	3	2
215	еще и	5	2
216	не для	2	2
217	а потому	2	2
218	тем самым	4	2
219	так или	2	2
220	это вовсе	2	2
221	свидетельствует о	3	2
222	есть только	8	2
223	по его	2	2
224	д и	4	2
225	он должен	2	2
226	в других	5	2
227	мы не	2	2
228	или иначе	2	2
229	ничего не	10	2
230	что этот	2	2
231	их в	4	2
232	однако и	3	2
233	ни на	4	2
234	одно из	2	2
235	он не	3	2
236	но он	3	2
237	в себе	15	2
238	в сознании	5	2
239	говорить о	6	2
240	что здесь	3	2
241	этому поводу	3	2
242	и все	7	2
243	его в	6	2
244	при помощи	13	2
245	и это	9	2
246	к нему	3	2
247	мы имеем	2	2
248	гораздо больше	2	2
249	то есть	33	2
250	этот раз	2	2
