N	2gram	Voloshinov_1	Otkroven
1	у него	2	22
2	и в	16	19
3	но и	4	13
4	и не	4	13
5	в этом	9	12
6	может быть	17	11
7	не только	7	11
8	и все	4	10
9	в нем	4	10
10	никогда не	2	9
11	прежде всего	9	9
12	он не	2	7
13	в его	4	7
14	все это	4	6
15	как и	2	6
16	то что	3	5
17	а в	3	5
18	отношение к	5	5
19	в том	3	5
20	для него	6	5
21	в этой	4	5
22	в самом	2	5
23	с его	7	4
24	только и	2	4
25	что не	2	4
26	и его	8	4
27	все эти	5	4
28	не может	8	4
29	что в	3	4
30	не могут	2	3
31	нем нет	2	3
32	в этих	3	3
33	и есть	3	3
34	влечет к	2	3
35	мысли и	4	3
36	и вот	3	3
37	что он	2	3
38	хотя бы	4	3
39	быть может	2	3
40	еще не	5	3
41	могут быть	3	3
42	все что	4	3
43	и ее	4	3
44	было бы	2	3
45	о том	2	3
46	с ним	2	3
47	как бы	5	3
48	в этот	2	2
49	что и	2	2
50	не есть	2	2
51	ее в	2	2
52	в душе	2	2
53	и для	2	2
54	так и	4	2
55	к этому	2	2
56	и к	6	2
57	том что	3	2
58	своей жизни	2	2
59	в глубину	2	2
60	и на	4	2
61	сказать что	7	2
62	и с	8	2
63	учение о	3	2
64	совсем не	2	2
65	момент в	2	2
66	его в	4	2
67	в своей	2	2
68	так как	4	2
69	и этим	2	2
70	и о	2	2
71	но в	4	2
72	и потому	3	2
