N	2gram	Vygotskiy__1	SlovoVZh
1	не может	17	16
2	точки зрения	15	14
3	может быть	22	14
4	и его	7	13
5	как бы	5	13
6	таким образом	20	12
7	и в	31	12
8	и не	16	10
9	если бы	6	9
10	так как	18	9
11	прежде всего	4	8
12	художественного произведения	17	7
13	для нас	5	7
14	сказать что	7	7
15	в нем	2	6
16	все время	4	6
17	в процессе	5	6
18	при этом	19	6
19	в том	30	6
20	только в	14	6
21	художественной формы	5	5
22	в жизни	2	5
23	то что	32	5
24	должна быть	3	5
25	никогда не	8	5
26	а не	13	5
27	то же	5	5
28	как и	16	5
29	том что	16	5
30	отнюдь не	6	5
31	как в	9	5
32	что мы	8	5
33	и следовательно	2	5
34	но в	3	5
35	в виду	4	5
36	и к	3	4
37	все же	5	4
38	отношение к	2	4
39	жизни и	3	4
40	так и	3	4
41	от того	3	4
42	с другой	5	4
43	на самом	2	4
44	уже не	2	4
45	зависимости от	6	4
46	не в	11	4
47	в этом	12	4
48	мы все	2	4
49	его в	2	4
50	в самом	11	4
51	к нему	2	4
52	не только	13	4
53	в котором	4	3
54	в них	2	3
55	точка зрения	4	3
56	не менее	2	3
57	когда он	2	3
58	в художественном	3	3
59	в своей	3	3
60	бы мы	2	3
61	сих пор	3	3
62	художественное произведение	10	3
63	все это	8	3
64	как к	2	3
65	ее и	2	3
66	и по	3	3
67	ясно что	19	3
68	в такой	2	3
69	по себе	9	3
70	этой точки	5	3
71	но и	2	3
72	того что	10	3
73	художественном произведении	3	3
74	точек зрения	3	3
75	или не	2	3
76	тем не	2	3
77	ни в	9	3
78	так же	12	3
79	самом деле	9	3
80	мы не	12	3
81	формы и	5	3
82	и с	2	3
83	о том	7	3
84	художественного творчества	6	3
85	нуждается в	3	3
86	в каком	2	3
87	в себе	4	3
88	до сих	3	3
89	в поэзии	2	3
90	только на	3	3
91	и для	5	3
92	из этого	2	3
93	с ним	2	3
94	между тем	4	3
95	имеет в	2	3
96	формы то	2	2
97	уже в	3	2
98	с этой	4	2
99	но мы	3	2
100	что и	13	2
101	в настоящее	2	2
102	независимо от	2	2
103	от всех	3	2
104	что в	23	2
105	вместе с	8	2
106	себя и	2	2
107	и так	4	2
108	в зависимости	5	2
109	в этих	4	2
110	в своем	3	2
111	точку зрения	3	2
112	в какой	5	2
113	другой стороны	5	2
114	дело с	3	2
115	мы имеем	4	2
116	и все	5	2
117	и другие	4	2
118	тому же	3	2
119	тогда когда	5	2
120	этих двух	2	2
121	с одной	5	2
122	к этому	4	2
123	те же	4	2
124	в себя	2	2
125	и что	8	2
126	искусства и	15	2
127	не есть	3	2
128	с точки	2	2
129	и здесь	2	2
130	же самое	2	2
131	как на	3	2
132	стороны и	3	2
133	но это	3	2
134	такой же	2	2
135	и то	2	2
136	форму и	2	2
137	мы можем	4	2
138	но не	3	2
139	могут быть	11	2
140	но что	2	2
141	до конца	6	2
142	она не	5	2
143	в то	5	2
144	одной стороны	6	2
145	настоящее время	2	2
146	и совершенно	5	2
147	может стать	3	2
148	на это	2	2
149	действия и	2	2
150	если же	2	2
151	на один	2	2
152	на примере	3	2
153	имеет место	2	2
154	там где	4	2
155	в чем	2	2
156	как это	4	2
157	к ним	2	2
158	ничего не	2	2
159	совпадает с	4	2
160	он не	3	2
161	мы никогда	4	2
162	в его	6	2
163	и потому	2	2
