N	3gram	Losev_Dial_1	VeschiIm
1	и т д	19	20
2	не может быть	3	18
3	это значит что	9	17
4	т д и	2	7
5	д и т	2	7
6	по крайней мере	4	6
7	на то что	4	6
8	в том что	7	6
9	не есть ни	6	6
10	одно и то	4	5
11	содержит в себе	3	5
12	и то же	4	5
13	то же время	4	4
14	что не есть	2	4
15	с точки зрения	12	4
16	в то же	4	4
17	было бы и	2	4
18	значит ли это	2	4
19	что это –	2	3
20	более или менее	3	3
21	можно было бы	4	3
22	то и другое	2	3
23	само по себе	5	3
24	ли это что	2	3
25	сама по себе	8	3
26	только то что	3	3
27	сам по себе	6	3
28	но это –	3	3
29	но что такое	2	3
30	и в то	2	3
31	и – мы	2	2
32	к тому что	2	2
33	в нем нет	3	2
34	мы говорим что	2	2
35	я не буду	3	2
36	можно сказать что	3	2
37	то это значит	2	2
38	и в частности	2	2
39	ничто не мешает	2	2
40	мы находим в	2	2
41	и даже не	2	2
