N	3gram	Voloshinov_1	Problema
1	по отношению к	9	19
2	не может быть	3	11
3	с точки зрения	10	6
4	в большинстве случаев	4	5
5	в высшей степени	2	5
6	и прежде всего	5	5
7	в данном случае	3	4
8	то же время	5	3
9	в самом деле	5	3
10	в то же	5	3
11	тем не менее	2	3
12	далеко не всегда	3	3
13	на самом деле	2	3
14	в том что	4	3
15	все то что	2	3
16	то или иное	2	2
17	ни в чем	2	2
18	так и в	2	2
19	не могут быть	3	2
20	можно сказать что	3	2
21	в чем не	2	2
22	в этом отношении	2	2
23	мы можем сказать	2	2
