N	2gram	Nazirov_Vr_1	Dialekti
1	т е	3	30
2	и не	5	30
3	может быть	4	20
4	и в	8	19
5	не только	9	19
6	в себе	2	15
7	то что	7	14
8	и даже	6	14
9	в том	3	14
10	как бы	4	14
11	но и	7	12
12	то же	5	12
13	точки зрения	2	12
14	и все	7	12
15	как и	6	10
16	и как	3	10
17	в нем	6	10
18	том что	3	10
19	это не	4	10
20	никогда не	2	9
21	не может	2	9
22	с точки	2	8
23	в этом	8	8
24	в своей	2	8
25	но это	2	7
26	что в	7	7
27	и то	2	7
28	я не	3	6
29	что он	4	6
30	отнюдь не	2	6
31	в то	5	6
32	– это	6	6
33	в одну	2	5
34	же время	5	5
35	и это	2	5
36	как раз	2	5
37	и что	8	5
38	и его	3	5
39	но как	2	5
40	о том	4	5
41	и с	6	5
42	в виду	4	5
43	уже в	4	4
44	в своем	3	4
45	все же	6	4
46	при этом	4	4
47	еще не	2	4
48	он не	3	4
49	связи с	3	4
50	все это	4	4
51	в связи	3	4
52	таким образом	2	4
53	а в	2	4
54	но он	3	4
55	с ним	4	4
56	не менее	2	3
57	и уже	3	3
58	же как	2	3
59	о чем	2	3
60	в это	2	3
61	с нею	2	3
62	об этом	5	3
63	уже не	2	3
64	в этой	2	3
65	как же	2	3
66	из них	2	3
67	не было	5	3
68	в той	2	3
69	после этого	2	3
70	его с	2	3
71	его в	3	3
72	в чем	3	3
73	же не	2	3
74	время и	2	2
75	что у	3	2
76	ко мне	2	2
77	в конце	3	2
78	и образы	2	2
79	же в	2	2
80	что я	2	2
81	об этой	2	2
82	в истории	4	2
83	несмотря на	4	2
84	личность и	2	2
85	в ней	4	2
86	раз в	3	2
87	в мире	2	2
88	так же	4	2
89	что есть	3	2
90	в своих	4	2
91	их в	2	2
92	между тем	5	2
93	тем что	3	2
94	во время	2	2
95	но в	6	2
96	вместе с	2	2
