N	2gram	Kanaev_Sov_1	Problemy
1	и в	7	35
2	как бы	4	31
3	и не	6	27
4	в его	2	21
5	но в	3	19
6	не может	17	18
7	как и	6	18
8	в нем	3	16
9	то же	3	15
10	и все	3	15
11	может быть	12	14
12	все это	3	14
13	в этом	7	14
14	прежде всего	5	12
15	и к	3	12
16	не в	3	10
17	самом деле	2	10
18	не только	4	10
19	самого начала	3	8
20	с самого	3	8
21	все же	3	8
22	как мы	2	8
23	а в	4	7
24	и наконец	5	7
25	точки зрения	12	7
26	еще не	3	7
27	что же	5	7
28	в виде	2	7
29	таким образом	11	7
30	что в	2	6
31	в каждом	8	6
32	и что	2	6
33	в самом	2	6
34	в одном	3	6
35	в конце	3	5
36	в том	4	5
37	и даже	2	5
38	в себе	3	5
39	или иной	2	4
40	но все	2	4
41	друг с	2	4
42	на его	2	4
43	всяком случае	2	4
44	так как	4	4
45	у него	2	4
46	тот же	2	4
47	нет и	4	4
48	а не	3	4
49	во всяком	2	4
50	он в	3	4
51	с другом	2	4
52	что это	2	4
53	уже в	3	3
54	то ни	2	3
55	такой же	2	3
56	в целом	4	3
57	из них	4	3
58	все эти	5	3
59	это не	4	3
60	и во	2	3
61	говорить о	2	3
62	мы должны	4	3
63	с этим	2	3
64	было бы	3	3
65	со всеми	2	3
66	уже не	2	3
67	которой он	2	3
68	и т.д	3	3
69	ничего не	6	3
70	так сказать	2	2
71	не менее	2	2
72	времени и	2	2
73	что все	2	2
74	вопрос о	4	2
75	мы знаем	2	2
76	в дальнейшем	4	2
77	на этом	2	2
78	при этом	3	2
79	мы видели	4	2
80	только так	2	2
81	и по	2	2
82	их в	4	2
83	теперь же	2	2
84	как он	3	2
85	в первом	3	2
86	для его	2	2
87	этих двух	2	2
88	конечно в	2	2
89	мы с	2	2
90	вместе с	4	2
91	быть и	2	2
92	приводит к	2	2
93	в отличие	2	2
94	на этот	2	2
95	с точки	5	2
96	в которой	2	2
97	той же	2	2
98	мы можем	6	2
99	отличие от	2	2
