N	2gram	Voloshinov_1	FransuaR
1	и в	13	45
2	и т.п	7	16
3	и не	8	15
4	не только	6	14
5	в этом	2	14
6	но в	4	14
7	в его	7	13
8	и его	12	13
9	как бы	6	12
10	что в	3	12
11	то же	4	11
12	прежде всего	9	10
13	в том	2	10
14	в нем	2	10
15	но и	3	10
16	как и	3	10
17	вовсе не	2	8
18	в ней	2	8
19	и др	2	8
20	таким образом	6	8
21	так же	2	8
22	том что	2	7
23	не в	3	7
24	все это	4	7
25	и все	3	7
26	так и	3	6
27	так как	3	6
28	в них	2	6
29	и к	2	5
30	мы видим	2	5
31	от всех	2	5
32	и их	7	5
33	не может	8	5
34	в связи	2	5
35	все эти	2	5
36	форм и	2	5
37	самом деле	3	5
38	мы не	4	4
39	своего рода	2	4
40	в самом	2	4
41	в общем	2	4
42	между собою	2	4
43	мы уже	2	4
44	а также	2	4
45	в их	3	4
46	не мог	2	4
47	а не	2	4
48	а в	2	4
49	чем же	2	4
50	с этим	3	4
51	точки зрения	7	4
52	только в	6	4
53	бы в	2	4
54	не менее	2	3
55	связанных с	2	3
56	как в	2	3
57	в одном	3	3
58	связанные с	2	3
59	для него	2	3
60	в своей	4	3
61	еще и	4	3
62	в течение	2	3
63	с помощью	2	3
64	не имеет	2	3
65	и для	3	3
66	тела и	3	3
67	нуждается в	2	3
68	в другом	2	3
69	в поэзии	5	3
70	там где	2	3
71	и наиболее	2	2
72	на фоне	4	2
73	говорить о	3	2
74	точку зрения	3	2
75	превращается в	3	2
76	хотя бы	5	2
77	г по	2	2
78	к тому	2	2
79	в отношении	2	2
80	в г	2	2
81	конечно в	2	2
82	то что	6	2
83	в пределах	3	2
84	было бы	4	2
85	несмотря на	2	2
86	может быть	8	2
87	еще в	2	2
88	в этот	2	2
89	в каждом	4	2
90	слова и	2	2
91	все же	5	2
92	и отчасти	2	2
93	в целом	2	2
94	данном случае	2	2
95	во времени	2	2
96	что эта	2	2
97	при этом	2	2
98	лишь в	4	2
99	и наконец	5	2
100	с точки	5	2
101	роль в	2	2
102	языка но	2	2
103	в данном	2	2
104	не столько	3	2
105	между тем	2	2
106	мы можем	4	2
107	но мы	4	2
108	и т.д	5	2
109	в чем	2	2
110	от этого	2	2
