N	3gram	Trubetskoy_1	Problema
1	тем не менее	4	18
2	в данном случае	3	8
3	на то что	7	8
4	для того чтобы	7	8
5	ничего общего с	2	7
6	о том что	4	5
7	в том что	15	5
8	в то же	2	4
9	в конце концов	4	4
10	в связи с	3	4
11	только то что	2	4
12	на самом деле	7	4
13	что же касается	2	3
14	более или менее	7	3
15	с точки зрения	8	3
16	до сих пор	8	3
17	в настоящее время	2	3
18	с другой стороны	4	3
19	может быть и	4	3
20	во всяком случае	2	3
21	и того же	3	2
22	во всех этих	2	2
23	так же как	3	2
24	в самом деле	5	2
25	мы говорили выше	5	2
26	так и для	2	2
27	одного и того	3	2
28	в этом случае	4	2
29	не может быть	3	2
30	и то что	3	2
31	в этой области	4	2
32	о которых мы	3	2
33	так или иначе	5	2
