N	2gram	Losev_Prob_4	Sotsiolo
1	все это	9	7
2	в том	20	5
3	в этом	9	5
4	не в	13	3
5	как же	2	3
6	для нас	6	3
7	и только	4	3
8	в его	3	3
9	и в	20	3
10	не только	24	3
11	или даже	4	2
12	еще не	7	2
13	было бы	14	2
14	как будто	11	2
15	только в	23	2
16	в конце	2	2
17	это и	4	2
18	таким образом	8	2
19	том что	12	2
20	далеко не	2	2
21	то же	7	2
22	то что	15	2
23	тем более	4	2
24	может быть	9	2
25	за пределы	2	2
26	в результате	8	2
27	в частности	2	2
28	и что	2	2
29	но и	14	2
30	дело не	3	2
31	в смысле	5	2
32	как бы	4	2
33	что в	3	2
