N	2gram	Tiupa_Hudo_1	VeschiIm
1	т е	4	42
2	не может	7	33
3	не только	12	31
4	может быть	5	29
5	и не	2	28
6	и в	14	26
7	то что	8	24
8	и т	11	21
9	т д	3	20
10	а не	12	20
11	что я	2	16
12	что она	4	14
13	только в	5	14
14	и что	2	13
15	того что	4	13
16	по себе	2	13
17	было бы	6	12
18	но и	5	12
19	все же	3	12
20	в себя	2	12
21	что же	2	11
22	а и	2	11
23	то же	9	10
24	уже не	7	10
25	в ней	4	10
26	как бы	7	10
27	потому что	5	10
28	в том	12	9
29	в самом	4	9
30	и с	4	9
31	прежде всего	11	9
32	что не	2	9
33	себя и	2	8
34	на то	4	8
35	с ее	2	8
36	в себе	11	8
37	и это	4	8
38	ничего не	8	8
39	со своим	2	7
40	говорить о	3	7
41	в то	8	7
42	его в	3	7
43	том что	16	7
44	себя в	4	7
45	как раз	4	7
46	в этом	11	7
47	так что	2	6
48	что в	6	6
49	для него	10	6
50	жизни и	5	6
51	со стороны	3	6
52	должно быть	2	6
53	в результате	2	6
54	точки зрения	5	6
55	но в	5	6
56	ясно что	2	6
57	она не	4	6
58	с ним	4	6
59	можно было	5	6
60	не менее	5	5
61	это не	7	5
62	с этой	2	5
63	тем не	4	5
64	не в	7	5
65	еще не	7	5
66	а в	7	5
67	или не	3	5
68	как к	3	5
69	если бы	3	5
70	отнюдь не	3	5
71	в ее	3	5
72	одна из	2	5
73	но не	3	5
74	для себя	3	5
75	и для	3	5
76	в своем	4	4
77	же время	8	4
78	из них	4	4
79	в их	2	4
80	то и	3	4
81	и даже	3	4
82	с этим	3	4
83	о том	12	4
84	и все	4	4
85	бытия и	4	4
86	как и	9	4
87	на себе	2	4
88	и о	4	4
89	и потому	2	4
90	с точки	3	4
91	мы не	2	4
92	тем что	3	4
93	и другое	2	3
94	никогда не	6	3
95	вопрос о	2	3
96	можно сказать	4	3
97	к тому	7	3
98	несмотря на	4	3
99	на этом	3	3
100	в нем	3	3
101	все это	2	3
102	к себе	5	3
103	но как	2	3
104	к другому	4	3
105	один из	4	3
106	что он	9	3
107	в своей	10	3
108	так и	13	3
109	да и	2	3
110	только на	2	3
111	а с	2	3
112	самом деле	5	3
113	того чтобы	3	3
114	ему не	2	3
115	на вопрос	2	2
116	казалось бы	7	2
117	в частности	5	2
118	тому что	4	2
119	говорить об	2	2
120	на столе	2	2
121	что на	2	2
122	а только	4	2
123	ни в	5	2
124	мы уже	4	2
125	так или	2	2
126	в первой	6	2
127	а а	2	2
128	для всего	2	2
129	бы на	2	2
130	в своих	3	2
131	говорится о	2	2
132	тот момент	2	2
133	как она	2	2
134	ничем не	3	2
135	на него	2	2
136	ни к	2	2
137	поэтому и	2	2
138	жизни в	6	2
139	превращается в	3	2
140	то в	4	2
141	в качестве	9	2
142	не нужно	2	2
143	ближе к	2	2
144	себе и	2	2
145	но еще	2	2
146	это так	2	2
147	для нее	2	2
148	никак не	2	2
149	об этом	5	2
150	он не	4	2
151	и когда	3	2
152	как в	8	2
153	приводит к	3	2
154	тогда как	7	2
155	может и	3	2
156	все равно	2	2
157	как мы	3	2
158	своей собственной	2	2
159	и его	5	2
160	той же	2	2
161	или иначе	2	2
162	не случайно	7	2
163	то чтобы	2	2
164	том как	3	2
