N	2gram	Propp_Russ_1	Dialekti
1	т е	17	48
2	и не	6	27
3	а не	2	26
4	точки зрения	3	25
5	и в	36	24
6	и т	10	24
7	значит что	2	24
8	не только	22	23
9	т д	9	23
10	не может	4	19
11	не просто	2	18
12	ничего не	3	17
13	и что	4	15
14	то что	6	14
15	с точки	3	14
16	может быть	8	13
17	таким образом	6	13
18	что это	3	12
19	того что	4	12
20	не менее	3	11
21	не имеет	6	11
22	тем не	3	10
23	отнюдь не	2	10
24	но и	16	9
25	что она	2	9
26	так что	2	8
27	и как	2	8
28	том что	19	8
29	в этом	12	8
30	в виде	6	8
31	что в	19	7
32	но что	2	7
33	в особенности	2	7
34	потому что	10	7
35	как и	10	7
36	только на	3	7
37	иное как	2	6
38	все это	6	6
39	и с	2	6
40	что иное	2	6
41	о том	8	6
42	так как	15	6
43	не что	2	6
44	об этом	9	6
45	что и	7	6
46	не на	2	6
47	то же	3	6
48	и пр	2	6
49	в том	17	5
50	но это	4	5
51	хотя и	2	5
52	одно из	5	5
53	как это	8	5
54	в них	6	5
55	и к	3	5
56	так и	7	5
57	уже не	6	5
58	мы не	6	5
59	только в	4	5
60	тому что	4	4
61	это не	10	4
62	к тому	4	4
63	так же	3	4
64	у нас	8	4
65	е в	8	4
66	не было	2	3
67	все же	5	3
68	но даже	2	3
69	в своем	3	3
70	что именно	2	3
71	его как	2	3
72	она не	2	3
73	а мы	2	3
74	в нем	2	3
75	из них	8	3
76	все эти	2	3
77	и на	10	3
78	с этим	2	3
79	тем что	4	3
80	на себя	2	3
81	в силу	2	3
82	одна из	4	3
83	не значит	2	3
84	но она	2	3
85	как бы	5	3
86	быть и	2	3
87	в частности	2	2
88	чаще всего	3	2
89	что у	2	2
90	из этих	4	2
91	показывает что	5	2
92	для нас	6	2
93	на этом	3	2
94	еще не	4	2
95	не можем	3	2
96	при этом	6	2
97	несмотря на	3	2
98	например в	2	2
99	нас к	2	2
100	на что	2	2
101	себя и	2	2
102	для этого	2	2
103	как например	3	2
104	и по	8	2
105	а в	9	2
106	в своих	2	2
107	их в	3	2
108	в ней	2	2
109	и здесь	2	2
110	они могли	2	2
111	и потому	2	2
112	но в	2	2
113	но они	3	2
114	у него	2	2
115	в разные	2	2
116	в их	4	2
117	думать что	3	2
118	их не	2	2
119	по существу	4	2
120	но не	2	2
121	обычно не	2	2
122	как не	2	2
123	природы и	2	2
124	на небо	3	2
125	так в	4	2
126	как мы	10	2
127	и у	5	2
128	и для	2	2
129	или в	2	2
130	что этот	4	2
131	могут быть	2	2
132	в его	2	2
