N	3gram	Vygotskiy__1	Stilisti
1	в то же	2	9
2	то же время	2	7
3	в зависимости от	2	7
4	для того чтобы	15	7
5	с точки зрения	18	5
6	с самого начала	8	4
7	в свою очередь	3	4
8	то же самое	3	4
9	одно и то	2	4
10	и то же	2	4
11	прежде всего в	2	4
12	и тем самым	3	3
13	смысле этого слова	3	2
14	в значительной степени	2	2
15	в этом отношении	4	2
16	к тому что	3	2
17	о том что	6	2
18	можно сказать что	4	2
19	что перед нами	2	2
20	вместе с тем	5	2
21	и той же	2	2
22	внутренней речи и	4	2
23	не может быть	5	2
24	одной и той	2	2
