N	3gram	Potebnia_M_2	Dialekti
1	и т д	3	19
2	сама по себе	2	8
3	в том что	7	7
4	сам по себе	4	6
5	по себе не	3	5
6	само по себе	2	5
7	то же время	2	4
8	по крайней мере	5	4
9	в то же	2	4
10	одно и то	2	4
11	на то что	3	4
12	с другой стороны	2	4
13	и то же	2	4
14	только потому что	2	3
15	более или менее	8	3
16	не может быть	2	3
17	в этом смысле	2	3
18	не было бы	4	2
19	с одной стороны	3	2
20	и т п	3	2
21	то и другое	4	2
22	до сих пор	4	2
23	во всяком случае	7	2
24	на самом деле	2	2
25	или по крайней	2	2
