N	3gram	Tiupa_Narr_2	TeoriaLi
1	по отношению к	5	8
2	в отличие от	5	7
3	я в мире	2	7
4	то же время	3	6
5	присутствия я в	2	6
6	в то же	3	6
7	в том что	8	6
8	в данном случае	6	5
9	не сводится к	6	5
10	того или иного	3	5
11	состоит в том	4	4
12	в конечном счете	3	4
13	можно сказать что	3	3
14	той или иной	3	3
15	тем не менее	4	3
16	в равной степени	2	2
17	мы имеем дело	2	2
18	и тем самым	2	2
19	в соответствии с	3	2
20	не только не	2	2
21	тогда как в	2	2
22	по своей природе	2	2
23	с точки зрения	2	2
24	не может быть	2	2
25	с одной стороны	5	2
