N	3gram	Losev_Dial_3	Psycholo
1	в том что	3	9
2	и т д	23	8
3	на то что	3	8
4	не может быть	6	8
5	в самом деле	5	7
6	о том что	5	7
7	во всяком случае	2	6
8	в то время	4	5
9	с одной стороны	3	5
10	само по себе	5	5
11	с другой стороны	2	5
12	в зависимости от	2	5
13	этой точки зрения	2	5
14	подобно тому как	4	5
15	то время как	4	5
16	так же как	2	4
17	с этой точки	2	4
18	как и в	3	4
19	только тогда когда	3	4
20	точно так же	2	3
21	не только не	7	3
22	мы не можем	2	2
23	в одинаковой мере	2	2
24	есть в сущности	2	2
25	хотя и не	2	2
26	в таком случае	10	2
27	с точки зрения	14	2
28	тем не менее	10	2
29	сама по себе	4	2
