N	2gram	Ircho_Kome_2	Morfolog
1	может быть	11	52
2	и т	2	49
3	таким образом	6	20
4	не может	3	17
5	в этих	4	16
6	с этим	5	14
7	и в	26	13
8	в этом	10	13
9	действующих лиц	5	13
10	так как	4	12
11	связи с	3	11
12	прежде всего	4	9
13	не всегда	2	9
14	так и	12	9
15	в связи	3	9
16	то же	3	9
17	и не	14	9
18	мы имеем	2	9
19	с другой	2	8
20	а затем	5	8
21	что и	7	8
22	вопрос о	3	7
23	в тех	3	7
24	в качестве	5	7
25	нет необходимости	2	7
26	но если	3	7
27	все же	4	7
28	это не	2	6
29	и здесь	6	6
30	в том	11	6
31	но не	3	6
32	а в	3	6
33	во время	6	6
34	не менее	4	5
35	и другие	2	5
36	в образе	3	5
37	в поле	3	5
38	наряду с	6	5
39	вслед за	2	5
40	во всех	3	5
41	как бы	2	5
42	один из	5	5
43	то что	6	5
44	или в	3	5
45	потому что	6	5
46	мы не	2	5
47	что в	9	4
48	вовсе не	2	4
49	об этом	2	4
50	что его	3	4
51	отношению к	3	4
52	было бы	8	4
53	ни одна	2	4
54	не только	7	4
55	то это	2	4
56	как в	3	4
57	как мы	4	4
58	тех же	3	4
59	по отношению	3	4
60	три года	2	4
61	как и	4	4
62	на пути	2	4
63	хотя и	4	4
64	тем что	3	4
65	точки зрения	4	4
66	могла бы	3	4
67	на этом	2	4
68	его в	4	4
69	если в	2	4
70	в других	2	4
71	независимо от	5	3
72	если бы	9	3
73	в нашем	2	3
74	с собой	2	3
75	в начале	4	3
76	в какой	2	3
77	же в	4	3
78	том что	9	3
79	но все	3	3
80	в целом	4	3
81	того чтобы	6	3
82	он не	2	3
83	не является	2	3
84	в первом	2	3
85	ни в	5	3
86	но и	10	3
87	от того	2	3
88	целый ряд	2	3
89	для этой	2	3
90	из которых	3	3
91	к нему	3	3
92	и для	4	3
93	друг друга	3	3
94	мы можем	3	3
95	из них	7	3
96	и ее	2	3
97	в то	6	3
98	в один	2	3
99	но в	3	3
100	что ни	2	2
101	с тем	5	2
102	обоих случаях	2	2
103	в частности	4	2
104	однако в	2	2
105	и за	2	2
106	хотя бы	2	2
107	сразу же	4	2
108	к этому	5	2
109	что он	5	2
110	и к	2	2
111	по отдельным	2	2
112	в в	4	2
113	из его	2	2
114	только в	4	2
115	а на	2	2
116	то время	3	2
117	одной стороны	2	2
118	у нее	2	2
119	одной из	4	2
120	никто не	3	2
121	или на	2	2
122	в обоих	3	2
123	же можно	2	2
124	чем это	2	2
125	№ и	2	2
126	себя в	3	2
127	сказать о	2	2
128	с одной	2	2
129	и что	2	2
130	для того	5	2
131	в жены	2	2
132	не имеет	3	2
133	и его	12	2
134	можно было	4	2
135	о том	6	2
136	ясно что	8	2
137	из дому	3	2
138	одна из	2	2
139	как это	4	2
140	время как	2	2
141	это было	4	2
