N	2gram	Nazirov_Tr_1	FransuaR
1	и в	18	45
2	то есть	3	25
3	и не	7	15
4	не только	8	14
5	в этом	9	14
6	но в	6	14
7	в его	3	13
8	и его	6	13
9	как бы	7	12
10	что в	4	12
11	в своем	3	11
12	в романе	10	11
13	то же	5	11
14	в то	5	11
15	прежде всего	4	10
16	в том	2	10
17	в нем	4	10
18	но и	4	10
19	как и	5	10
20	и с	7	10
21	же время	6	9
22	так же	4	8
23	с его	2	7
24	в конце	3	7
25	он был	2	7
26	том что	4	7
27	не в	2	7
28	что и	2	7
29	все это	4	7
30	потому что	2	7
31	и все	4	7
32	что он	6	6
33	в этой	4	6
34	он не	2	6
35	так и	5	6
36	с ним	3	5
37	но это	4	5
38	с ее	3	5
39	не может	5	5
40	все эти	3	5
41	и как	3	5
42	и на	7	5
43	его в	2	5
44	перед нами	2	4
45	об этом	4	4
46	у него	6	4
47	и здесь	2	4
48	ничего не	2	4
49	по поводу	2	4
50	своего рода	3	4
51	в самом	2	4
52	не мог	2	4
53	и даже	4	4
54	о том	2	4
55	и это	2	4
56	как это	3	4
57	как в	3	3
58	это не	5	3
59	но они	2	3
60	в одном	2	3
61	своего отца	3	3
62	ни в	2	3
63	для него	3	3
64	что она	2	3
65	в году	9	3
66	и он	3	3
67	не имеет	2	3
68	он и	2	3
69	о чем	3	3
70	не могут	2	2
71	с тем	2	2
72	очень важно	2	2
73	тут же	2	2
74	что все	2	2
75	из своих	2	2
76	к тому	2	2
77	отличие от	2	2
78	то что	4	2
79	права на	2	2
80	что это	5	2
81	несмотря на	5	2
82	может быть	7	2
83	еще в	2	2
84	один из	3	2
85	все же	5	2
86	в целом	4	2
87	и за	2	2
88	и до	2	2
89	данном случае	2	2
90	в отличие	2	2
91	при этом	3	2
92	но эта	2	2
93	и что	4	2
94	к нему	3	2
95	жизнь и	3	2
96	в данном	2	2
97	в известной	2	2
98	это очень	5	2
