N	2gram	Vygotskiy__2	Russkaja
1	не может	17	22
2	и не	10	19
3	в том	37	17
4	в этом	13	17
5	и в	32	14
6	то что	21	13
7	таким образом	21	11
8	то же	13	11
9	точки зрения	17	11
10	же время	2	10
11	но и	10	10
12	в то	5	10
13	том что	21	9
14	не только	12	9
15	в себе	2	9
16	с точки	10	9
17	может быть	18	9
18	во всяком	2	9
19	того чтобы	14	8
20	как на	5	8
21	отнюдь не	5	7
22	к тому	7	7
23	самом деле	16	7
24	в данном	4	7
25	мы должны	3	7
26	о том	6	7
27	и с	4	7
28	если бы	6	6
29	на самом	5	6
30	что он	13	6
31	и к	3	6
32	и при	2	6
33	с тем	11	6
34	к которой	2	6
35	для того	13	6
36	всяком случае	2	6
37	если в	2	6
38	все это	5	6
39	и для	4	6
40	в своих	9	6
41	хотя бы	3	5
42	на то	11	5
43	и на	5	5
44	при этом	13	5
45	до сих	5	5
46	было бы	11	5
47	в своей	3	5
48	он не	6	5
49	никогда не	9	5
50	в нем	4	5
51	сих пор	5	5
52	во всех	3	5
53	и только	2	5
54	по существу	3	5
55	а потому	2	5
56	из которых	2	5
57	а в	4	5
58	потому что	21	5
59	только в	7	5
60	между тем	4	5
61	но не	2	4
62	не могут	3	4
63	том случае	4	4
64	что в	20	4
65	то ни	2	4
66	тогда когда	3	4
67	как и	10	4
68	все что	2	4
69	ли это	2	4
70	как бы	6	4
71	себе и	2	4
72	все же	4	4
73	бы то	2	4
74	жизни и	4	4
75	вместе с	2	4
76	от того	4	4
77	что же	3	4
78	в их	3	4
79	не в	8	4
80	можно было	7	4
81	отказаться от	3	4
82	и то	3	4
83	в этой	6	4
84	во всем	3	4
85	в его	2	4
86	так как	12	4
87	что это	8	3
88	на том	2	3
89	случае если	4	3
90	в конце	3	3
91	признание что	2	3
92	что все	9	3
93	главным образом	3	3
94	и как	7	3
95	что они	7	3
96	еще не	2	3
97	несмотря на	4	3
98	в самом	12	3
99	том чтобы	3	3
100	знаем что	4	3
101	и этот	2	3
102	для этого	3	3
103	то это	3	3
104	что и	17	3
105	и т	10	3
106	из них	4	3
107	данном случае	4	3
108	не было	2	3
109	что оно	2	3
110	и сейчас	3	3
111	сводится к	2	3
112	того что	8	3
113	и по	4	3
114	что для	7	3
115	приходит к	3	3
116	тем что	9	3
117	из этого	4	3
118	конце концов	3	3
119	в сознании	4	3
120	место в	2	2
121	а с	2	2
122	зависит от	2	2
123	и более	4	2
124	в частности	3	2
125	но даже	2	2
126	были бы	3	2
127	и от	2	2
128	с этим	4	2
129	точно так	3	2
130	этот вопрос	3	2
131	это в	2	2
132	состоит в	3	2
133	представить себе	3	2
134	ясно что	7	2
135	или иного	2	2
136	по себе	12	2
137	том и	2	2
138	ни в	2	2
139	так что	3	2
140	из всех	2	2
141	но это	2	2
142	именно на	2	2
143	указывает на	3	2
144	отличается от	2	2
145	что с	3	2
146	она не	2	2
147	и тот	2	2
148	ничего другого	2	2
149	совершенно не	4	2
150	по самому	3	2
151	в ней	5	2
152	на это	3	2
153	но совершенно	3	2
154	отношении к	3	2
155	для нее	2	2
156	если же	4	2
157	и тем	4	2
158	не к	3	2
159	для нас	2	2
160	противоречие с	2	2
161	согласиться с	2	2
162	тому что	4	2
163	целый ряд	6	2
164	это только	3	2
165	все эти	7	2
166	и вот	3	2
167	только на	5	2
168	и что	22	2
169	а не	7	2
170	стоит только	2	2
171	и даже	5	2
172	не так	2	2
173	к нему	2	2
174	так же	18	2
175	в других	2	2
176	и те	4	2
177	в таком	2	2
178	принадлежат к	2	2
179	свое собственное	3	2
180	том же	2	2
181	их в	2	2
182	мы можем	3	2
183	того или	3	2
184	как будто	7	2
185	в этих	2	2
186	но в	3	2
