N	2gram	Tiupa_Narr_1	RusskieA
1	и в	19	36
2	не только	32	22
3	что в	3	19
4	том что	14	19
5	в том	18	17
6	но и	23	16
7	в этом	17	12
8	это не	2	10
9	как мы	3	10
10	как и	7	10
11	и на	3	10
12	а в	11	9
13	состоит в	13	8
14	из них	3	8
15	может быть	25	8
16	один из	3	8
17	о том	6	8
18	как это	6	8
19	что они	3	7
20	так и	9	7
21	между тем	3	7
22	представляют собой	2	7
23	и не	20	6
24	при этом	9	6
25	уже не	5	6
26	не имеет	2	6
27	то что	11	6
28	будто бы	3	6
29	все же	7	5
30	как будто	3	5
31	как бы	4	5
32	одно из	2	5
33	как в	7	5
34	из этих	3	4
35	к тому	7	4
36	что на	2	4
37	по существу	2	4
38	представляет собой	13	4
39	одна из	3	4
40	еще не	7	4
41	связи с	4	4
42	вплоть до	2	4
43	и др	2	4
44	не может	10	4
45	в связи	2	4
46	а с	3	4
47	мы имеем	2	4
48	а иногда	2	4
49	тем что	3	4
50	только в	4	4
51	что по	2	4
52	не менее	3	3
53	о чем	2	3
54	что это	3	3
55	в качестве	21	3
56	в своем	2	3
57	но все	4	3
58	в свою	3	3
59	тем не	3	3
60	несмотря на	2	3
61	как правило	4	3
62	а также	7	3
63	если в	3	3
64	не с	3	3
65	своего рода	12	3
66	приводит к	2	3
67	то же	4	3
68	с точки	2	3
69	так же	2	3
70	ничего не	2	3
71	точки зрения	10	3
72	то есть	19	3
73	далеко не	5	3
74	этого слова	2	3
75	в области	2	3
76	не было	2	2
77	независимо от	2	2
78	в частности	14	2
79	могут быть	3	2
80	переход от	4	2
81	между собой	2	2
82	что у	2	2
83	к другому	2	2
84	та же	2	2
85	и потому	2	2
86	что именно	2	2
87	в нем	4	2
88	не что	2	2
89	у него	4	2
90	и как	5	2
91	в силу	4	2
92	свою очередь	3	2
93	но не	5	2
94	в прошлом	3	2
95	как известно	2	2
96	она не	2	2
97	отнюдь не	5	2
98	когда он	3	2
99	например в	2	2
100	имеет место	4	2
101	в ней	3	2
102	в его	9	2
103	и с	4	2
104	его как	2	2
105	и до	2	2
106	не на	2	2
107	в особенности	4	2
108	тогда как	12	2
109	все эти	2	2
110	в какой	2	2
111	а не	12	2
112	и для	2	2
113	или в	2	2
114	не случайно	2	2
115	хотя и	3	2
116	между двумя	5	2
117	себя и	2	2
118	на себя	3	2
119	что иное	2	2
120	но в	6	2
121	иное как	2	2
122	же не	4	2
