N	2gram	Vinokur_St_1	VeschiIm
1	т е	15	42
2	не может	8	33
3	не только	18	31
4	может быть	15	29
5	и не	16	28
6	и в	44	26
7	то что	18	24
8	значит что	3	22
9	и т	30	21
10	т д	21	20
11	а не	16	20
12	есть только	2	17
13	что она	4	14
14	только в	10	14
15	и что	4	13
16	того что	9	13
17	что это	4	12
18	было бы	17	12
19	но и	10	12
20	сказать что	7	12
21	все же	8	12
22	и то	5	12
23	что же	6	11
24	таким образом	7	11
25	то же	5	10
26	в ней	3	10
27	как бы	4	10
28	потому что	6	10
29	что мы	5	10
30	не значит	3	10
31	в том	36	9
32	в самом	7	9
33	и с	3	9
34	прежде всего	7	9
35	что не	3	9
36	еще и	2	9
37	на то	4	8
38	но это	6	8
39	в себе	2	8
40	и это	2	8
41	ничего не	2	8
42	совершенно не	5	7
43	что оно	3	7
44	также и	9	7
45	говорить о	2	7
46	в то	9	7
47	его в	2	7
48	так как	5	7
49	е в	2	7
50	том что	29	7
51	и их	2	7
52	как раз	4	7
53	д и	2	7
54	в этом	21	7
55	так что	6	6
56	что они	7	6
57	что в	30	6
58	для него	6	6
59	но если	4	6
60	жизни и	5	6
61	ни с	3	6
62	со стороны	6	6
63	и только	3	6
64	в результате	3	6
65	точки зрения	11	6
66	то не	2	6
67	но в	10	6
68	по крайней	2	6
69	ясно что	10	6
70	она не	2	6
71	крайней мере	2	6
72	бы и	4	6
73	можно было	13	6
74	а если	2	6
75	не менее	5	5
76	должна быть	3	5
77	ведь и	3	5
78	в отношении	9	5
79	вообще не	2	5
80	это не	8	5
81	с этой	3	5
82	тем не	2	5
83	не в	12	5
84	еще не	3	5
85	для этого	2	5
86	должны быть	3	5
87	а в	17	5
88	что для	3	5
89	как к	3	5
90	ни на	2	5
91	если бы	9	5
92	в ее	4	5
93	у нас	11	5
94	это и	4	5
95	но не	3	5
96	того же	3	5
97	же это	3	5
98	в сущности	2	5
99	для себя	3	5
100	и для	3	5
101	в чем	3	5
102	я не	7	4
103	можно ли	4	4
104	в своем	2	4
105	с другой	9	4
106	же время	4	4
107	тут не	2	4
108	из них	8	4
109	в и	130	4
110	и даже	5	4
111	с этим	3	4
112	о том	17	4
113	не существует	3	4
114	и более	2	4
115	и все	2	4
116	то это	3	4
117	как и	9	4
118	во всех	8	4
119	и потому	2	4
120	должен быть	3	4
121	что и	6	4
122	быть и	2	4
123	даже не	4	4
124	этот вопрос	4	4
125	с точки	8	4
126	то или	3	4
127	мы не	2	4
128	в данном	14	4
129	тем что	5	4
130	никогда не	5	3
131	вопрос о	4	3
132	несмотря на	2	3
133	бы что	2	3
134	без всякого	2	3
135	как о	2	3
136	и сам	2	3
137	в нем	5	3
138	отношение к	2	3
139	все это	5	3
140	отношения к	2	3
141	мы находим	4	3
142	их в	2	3
143	мы имеем	2	3
144	нисколько не	2	3
145	даже и	2	3
146	что он	10	3
147	нужно было	2	3
148	между прочим	2	3
149	как можно	2	3
150	в своей	6	3
151	так и	9	3
152	да и	3	3
153	и тогда	2	3
154	а с	3	3
155	из того	2	3
156	в той	6	3
157	самом деле	11	3
158	того чтобы	11	3
159	хотя бы	6	3
160	тем более	4	3
161	и вообще	3	3
162	вопроса о	3	3
163	если это	3	3
164	в основе	3	3
165	может не	2	2
166	на вопрос	4	2
167	в частности	4	2
168	тому что	3	2
169	в каком-то	2	2
170	была бы	5	2
171	а потому	2	2
172	что на	2	2
173	и можно	2	2
174	ни в	3	2
175	но все	4	2
176	знает и	2	2
177	которая была	2	2
178	так или	2	2
179	и тем	3	2
180	и уже	2	2
181	в первой	12	2
182	данном случае	6	2
183	то очевидно	2	2
184	оба эти	2	2
185	в слове	5	2
186	заключается в	4	2
187	во втором	4	2
188	при чем	6	2
189	так же	5	2
190	что то	2	2
191	конечно и	3	2
192	в своих	2	2
193	но ведь	8	2
194	в первом	2	2
195	ли в	2	2
196	как это	4	2
197	то есть	2	2
198	на него	2	2
199	от этого	2	2
200	о которой	3	2
201	превращается в	2	2
202	и во	2	2
203	то в	3	2
204	в качестве	4	2
205	но именно	2	2
206	невозможно было	2	2
207	об этом	3	2
208	он не	2	2
209	как в	13	2
210	если не	2	2
211	еще более	4	2
212	самого же	2	2
213	допустим что	2	2
214	для того	10	2
215	тем же	3	2
216	и его	8	2
217	той же	5	2
218	или иначе	2	2
219	во всяком	6	2
220	дело в	6	2
221	не все	3	2
222	том как	4	2
