N	2gram	Bakhtin_Fr_2	Problema
1	то что	6	42
2	вовсе не	10	35
3	то есть	32	33
4	и в	49	32
5	и не	15	31
6	в этом	15	19
7	не только	17	17
8	в себе	4	15
9	как бы	11	14
10	может быть	5	14
11	но в	4	14
12	в нем	9	13
13	сказать что	6	13
14	что в	2	12
15	том что	4	12
16	так и	6	12
17	и даже	2	11
18	также и	3	11
19	о том	3	11
20	так как	6	11
21	то же	7	10
22	прежде всего	19	10
23	в этой	10	10
24	ничего не	2	10
25	но не	5	9
26	в том	3	9
27	но и	13	9
28	так же	2	9
29	еще не	2	9
30	того чтобы	2	9
31	и это	3	9
32	на то	2	8
33	не может	7	8
34	все эти	7	8
35	и о	4	8
36	и на	17	8
37	даже и	2	8
38	было бы	3	8
39	в своей	5	8
40	но это	2	8
41	содержит в	2	7
42	никогда не	5	7
43	ни в	3	7
44	такого рода	2	7
45	все это	9	7
46	всех этих	3	7
47	в них	13	7
48	и все	3	7
49	что он	3	7
50	во всех	6	7
51	как мы	7	7
52	во всяком	2	7
53	тем что	4	7
54	только в	13	7
55	здесь не	2	7
56	в конце	2	6
57	при этом	5	6
58	в самом	3	6
59	хотя и	2	6
60	в виду	3	6
61	таким образом	7	6
62	о чем	3	6
63	в то	6	6
64	совершенно не	2	6
65	за пределы	2	6
66	в его	18	6
67	на самом	2	6
68	в своем	5	5
69	можно сказать	2	5
70	есть в	2	5
71	мы уже	6	5
72	мы должны	2	5
73	связи с	2	5
74	далеко не	3	5
75	именно в	6	4
76	в дальнейшем	2	4
77	по поводу	2	4
78	один из	7	4
79	только то	2	4
80	в их	2	4
81	не было	4	4
82	а в	4	4
83	их в	3	4
84	в истории	6	4
85	в литературе	6	4
86	же в	3	4
87	литературы и	2	4
88	и вовсе	2	4
89	мы можем	2	4
90	в связи	2	4
91	и вообще	3	4
92	уже в	5	3
93	в этих	4	3
94	в отношении	2	3
95	с другой	4	3
96	но все	4	3
97	что они	2	3
98	несмотря на	3	3
99	всяком случае	2	3
100	другими словами	3	3
101	из них	3	3
102	другой стороны	3	3
103	смысл и	2	3
104	и его	17	3
105	в самой	2	3
106	именно на	2	3
107	но он	6	3
108	точки зрения	6	3
109	и еще	2	3
110	и следовательно	2	3
111	с ним	4	3
112	и во	4	3
113	в жизни	4	3
114	в ее	3	3
115	как и	11	3
116	учение о	2	3
117	здесь в	6	3
118	и чисто	4	3
119	до сих	4	3
120	но именно	3	3
121	нужно сказать	3	3
122	для которого	3	3
123	сих пор	4	3
124	да и	3	3
125	того как	2	3
126	к нему	3	3
127	с точки	5	3
128	можно было	3	3
129	очень много	2	3
130	в целях	2	2
131	без всякого	2	2
132	для него	9	2
133	на его	2	2
134	в него	2	2
135	на этой	2	2
136	и до	4	2
137	мы находим	4	2
138	мы наблюдаем	2	2
139	особенно в	2	2
140	что для	3	2
141	и с	6	2
142	как именно	2	2
143	из этих	5	2
144	образ не	2	2
145	с его	5	2
146	сознания и	2	2
147	для них	2	2
148	могут быть	2	2
149	нельзя сказать	2	2
150	по существу	2	2
151	вот в	2	2
152	в качестве	2	2
153	со всеми	2	2
154	в сущности	8	2
155	по преимуществу	2	2
156	и потому	5	2
157	и особенно	3	2
158	вместе с	2	2
159	ее в	2	2
160	таковы например	2	2
161	мы здесь	2	2
162	тому как	2	2
163	подобно тому	2	2
164	в области	4	2
165	в эту	5	2
