N	2gram	Tiupa_Narr_1	Stilisti
1	и в	19	42
2	как бы	4	27
3	не только	32	27
4	и т.п	8	24
5	прежде всего	4	22
6	и т.д	7	20
7	хотя бы	4	17
8	но и	23	15
9	то же	4	15
10	и не	20	14
11	может быть	25	12
12	не может	10	12
13	точки зрения	10	11
14	как и	7	11
15	и как	5	10
16	что мы	2	10
17	отнюдь не	5	10
18	как мы	3	10
19	в этом	17	10
20	при этом	9	9
21	в то	3	9
22	то что	11	9
23	все же	7	8
24	в ней	3	8
25	тем самым	6	8
26	в себе	8	8
27	никогда не	3	7
28	же время	4	7
29	и тем	4	7
30	и на	3	7
31	с его	6	7
32	было бы	4	7
33	а не	12	7
34	и его	5	7
35	только в	4	7
36	ничего не	2	7
37	точку зрения	4	6
38	или иной	5	6
39	не в	14	6
40	в этой	5	6
41	в свою	3	6
42	точкой зрения	2	6
43	в форме	5	6
44	когда мы	2	6
45	в нем	4	6
46	так и	9	6
47	в области	2	6
48	уже в	3	5
49	независимо от	2	5
50	не является	8	5
51	те же	4	5
52	а в	11	5
53	и с	4	5
54	того или	2	5
55	как это	6	5
56	или иного	2	5
57	точек зрения	2	5
58	в его	9	5
59	в той	6	5
60	с точки	2	5
61	что это	3	4
62	что именно	2	4
63	можно сказать	5	4
64	к тому	7	4
65	но все	4	4
66	свою очередь	3	4
67	о своей	2	4
68	было в	2	4
69	в качестве	21	4
70	той или	4	4
71	точка зрения	6	4
72	один из	3	4
73	языка и	2	4
74	так же	2	4
75	о том	6	4
76	его в	2	4
77	но в	6	4
78	не существует	3	4
79	не что	2	4
80	или иную	2	4
81	ту или	2	4
82	себя в	5	4
83	на него	3	4
84	а с	3	4
85	уже не	5	4
86	самом деле	2	4
87	можно было	2	4
88	то есть	19	4
89	или иное	2	3
90	что у	2	3
91	перед нами	4	3
92	это не	2	3
93	в будущем	2	3
94	не мог	4	3
95	хотя и	3	3
96	из них	3	3
97	жизни и	3	3
98	во второй	2	3
99	и даже	3	3
100	нуждается в	5	3
101	сказать что	4	3
102	форма высказывания	2	3
103	та же	2	3
104	и все	2	3
105	этого слова	2	3
106	в ее	3	3
107	том что	14	3
108	еще не	7	3
109	нет и	2	3
110	не будет	3	3
111	отношения к	2	3
112	да и	4	3
113	если не	4	3
114	между ними	2	3
115	и для	2	3
116	то или	3	3
117	высказывания и	3	3
118	роль в	2	3
119	связи с	4	3
120	художественного высказывания	2	2
121	быть может	2	2
122	зависит от	2	2
123	в частности	14	2
124	в какой	2	2
125	или даже	2	2
126	всех его	2	2
127	иное как	2	2
128	человека в	2	2
129	не всегда	2	2
130	в мире	9	2
131	в том	18	2
132	тому же	5	2
133	времени и	7	2
134	для него	2	2
135	в пределах	2	2
136	несмотря на	2	2
137	значительной степени	2	2
138	из двух	3	2
139	не с	3	2
140	отношение к	2	2
141	в связи	2	2
142	не было	2	2
143	этом отношении	3	2
144	все эти	2	2
145	высказывания в	6	2
146	каждый из	2	2
147	что иное	2	2
148	по своей	3	2
149	все то	2	2
150	мы имеем	2	2
151	к которому	2	2
152	в основе	5	2
153	однако в	2	2
154	между собой	2	2
155	что он	6	2
156	на первый	2	2
157	представляет собой	13	2
158	но не	5	2
159	одной из	4	2
160	и когда	2	2
161	и потому	2	2
162	не есть	3	2
163	зрения на	2	2
164	бытия в	3	2
165	как в	7	2
166	при всем	2	2
167	здесь не	4	2
168	бы не	2	2
169	первый взгляд	2	2
170	в значительной	2	2
171	из которых	4	2
172	и он	3	2
173	к нему	5	2
174	или в	2	2
175	между двумя	5	2
176	тем что	3	2
177	данного события	2	2
