N	2gram	Medvedev_V_1	Literetu
1	а не	7	20
2	и в	26	19
3	может быть	22	17
4	то же	10	12
5	и не	19	11
6	в том	15	10
7	как и	7	10
8	но и	10	10
9	же время	5	9
10	не может	17	9
11	в этом	26	9
12	в то	6	9
13	с другой	11	8
14	не только	25	8
15	и даже	2	8
16	том что	8	7
17	то что	6	7
18	так и	5	7
19	с одной	2	7
20	не менее	2	6
21	в себе	6	6
22	одной стороны	2	6
23	конечном счете	5	5
24	у нас	2	5
25	одна из	4	5
26	но не	2	5
27	в качестве	11	5
28	он не	2	5
29	в конечном	7	5
30	вместе с	7	5
31	в году	6	5
32	того что	3	5
33	что в	10	4
34	в частности	11	4
35	в сфере	2	4
36	прежде всего	13	4
37	не в	6	4
38	отнюдь не	3	4
39	для него	8	4
40	в ней	2	4
41	в его	14	4
42	даже в	5	4
43	один из	5	4
44	жизни и	3	4
45	ли не	2	4
46	человека в	2	4
47	другой стороны	8	4
48	по отношению	7	4
49	точки зрения	3	4
50	в искусстве	6	4
51	в области	2	4
52	никогда не	4	3
53	что он	4	3
54	в нем	6	3
55	по существу	3	3
56	и как	3	3
57	одним из	5	3
58	в этой	4	3
59	и он	2	3
60	во всех	6	3
61	том чтобы	2	3
62	вплоть до	2	3
63	и др	9	3
64	отношению к	7	3
65	себе и	2	3
66	в их	5	3
67	и для	2	3
68	этом отношении	13	3
69	но с	2	3
70	всего лишь	3	3
71	как на	3	3
72	а в	3	3
73	и его	6	3
74	не столько	2	3
75	в другом	2	3
76	том числе	2	2
77	не было	7	2
78	же как	2	2
79	с тем	3	2
80	у него	6	2
81	творчества как	3	2
82	не является	5	2
83	в них	4	2
84	в противоположность	3	2
85	по крайней	2	2
86	в конце	3	2
87	в виду	4	2
88	в одном	4	2
89	в жизни	2	2
90	в каждом	2	2
91	вовсе не	3	2
92	и к	3	2
93	крайней мере	2	2
94	в ее	4	2
95	а затем	2	2
96	очевидно что	7	2
97	художественного творчества	18	2
98	еще не	2	2
99	было бы	7	2
100	из своих	2	2
101	при всей	2	2
102	не по	2	2
103	как бы	5	2
104	не вполне	2	2
105	если в	2	2
106	что и	3	2
107	как он	2	2
108	все же	5	2
109	и т	23	2
110	же в	6	2
111	в целом	4	2
112	из них	9	2
113	могут быть	5	2
114	при всем	3	2
115	как раз	3	2
116	т п	9	2
117	для того	3	2
118	что не	3	2
119	из которых	2	2
120	и наконец	2	2
121	хотя бы	19	2
122	в своих	2	2
123	в результате	5	2
124	даже и	3	2
125	подобно тому	2	2
126	он и	2	2
127	но как	3	2
128	ту же	2	2
129	о том	10	2
130	в художественном	10	2
131	тому как	2	2
132	как это	12	2
133	могло бы	2	2
134	но в	2	2
135	одном из	3	2
