N	2gram	Savitsky_E_1	Otkroven
1	и в	37	19
2	но и	14	13
3	и не	14	13
4	в этом	12	12
5	а не	2	11
6	не в	5	11
7	может быть	6	11
8	не только	18	11
9	и все	2	10
10	вопрос о	4	10
11	никогда не	3	9
12	потому что	3	9
13	прежде всего	9	9
14	он не	2	7
15	в его	2	7
16	как и	7	6
17	то что	6	5
18	а в	2	5
19	в том	11	5
20	в этой	2	5
21	в самом	4	5
22	в россии	5	5
23	т е	9	4
24	он сам	2	4
25	того чтобы	6	4
26	не может	9	4
27	что в	21	4
28	к нему	2	3
29	чем на	2	3
30	не могут	2	3
31	в этих	2	3
32	только одно	2	3
33	того что	7	3
34	для того	6	3
35	хотя бы	15	3
36	в своих	2	3
37	и от	3	3
38	могут быть	2	3
39	в себе	9	3
40	было бы	8	3
41	когда он	3	3
42	о том	3	3
43	как бы	6	3
44	что и	3	2
45	не есть	2	2
46	ее в	3	2
47	и для	3	2
48	с тем	3	2
49	можно ли	3	2
50	в истории	2	2
51	всего в	2	2
52	так и	10	2
53	жизни в	3	2
54	в своем	14	2
55	россии в	4	2
56	что же	2	2
57	что все	2	2
58	по себе	4	2
59	потребность в	3	2
60	и к	3	2
61	не имеет	4	2
62	в ее	8	2
63	в других	2	2
64	том что	6	2
65	и на	6	2
66	и то	2	2
67	сказать что	4	2
68	и с	2	2
69	чем в	4	2
70	тем что	3	2
71	в своей	8	2
72	так как	7	2
73	хотя и	2	2
74	к ней	4	2
75	но в	14	2
76	и потому	5	2
