N	2gram	Bakhtin_Fr_3	Sovremen
1	не может	3	17
2	точки зрения	2	12
3	может быть	9	12
4	таким образом	10	11
5	мы не	2	9
6	в этом	15	7
7	и в	40	7
8	и не	13	6
9	как и	11	6
10	прежде всего	16	5
11	все эти	8	5
12	и наконец	3	5
13	в условиях	2	5
14	как бы	3	4
15	мы видели	3	4
16	в целом	2	4
17	жизни и	4	4
18	вместе с	3	4
19	это не	2	4
20	а в	3	4
21	не только	13	4
22	с помощью	2	4
23	в том	8	4
24	в дальнейшем	2	4
25	их в	3	4
26	из них	4	4
27	так как	4	4
28	в системе	2	3
29	уже в	2	3
30	все же	2	3
31	все это	4	3
32	не подлежит	3	3
33	в конце	3	3
34	то же	7	3
35	в нем	5	3
36	а не	5	3
37	и к	3	3
38	у нас	4	3
39	в этой	3	3
40	одна из	3	3
41	еще не	3	3
42	он в	2	3
43	при этом	3	3
44	было бы	4	3
45	в одном	7	3
46	и все	9	3
47	как он	2	3
48	в себе	3	3
49	в области	4	3
50	но в	8	3
51	и потому	4	3
52	так сказать	5	2
53	не менее	2	2
54	и есть	3	2
55	у него	8	2
56	на их	2	2
57	в нашем	4	2
58	и во	4	2
59	в отличие	3	2
60	из этих	2	2
61	тем же	2	2
62	или же	2	2
63	еще более	4	2
64	как мы	10	2
65	или иной	2	2
66	самом деле	3	2
67	роль в	4	2
68	и даже	4	2
69	мы знаем	2	2
70	той же	8	2
71	мы видим	5	2
72	но все	3	2
73	на этом	2	2
74	времени и	2	2
75	с этим	2	2
76	как известно	2	2
77	и они	2	2
78	что в	12	2
79	со всеми	5	2
80	в один	2	2
81	на его	2	2
82	такого рода	3	2
83	в самом	6	2
84	в которой	2	2
85	отличие от	3	2
86	в его	13	2
