N	2gram	Propp_Russ_2	Psycholo
1	в том	22	37
2	и в	29	32
3	и что	5	22
4	том что	22	21
5	то что	5	21
6	таким образом	6	21
7	потому что	5	21
8	что в	22	20
9	так же	4	18
10	может быть	13	18
11	что и	2	17
12	не может	5	17
13	что она	3	16
14	того чтобы	6	14
15	при этом	6	13
16	то же	4	13
17	для того	6	13
18	в этом	11	13
19	не только	10	12
20	так как	13	12
21	с тем	6	11
22	было бы	3	11
23	как и	11	10
24	и т	5	10
25	но и	8	10
26	никогда не	2	9
27	что при	2	9
28	как в	7	9
29	в своих	2	9
30	тем что	3	9
31	что это	3	8
32	не менее	2	8
33	не в	4	8
34	того что	3	8
35	и как	2	7
36	а не	4	7
37	все эти	3	7
38	можно было	2	7
39	что для	3	7
40	в этой	3	6
41	как бы	18	6
42	о том	9	6
43	далеко не	4	5
44	все это	10	5
45	на самом	2	5
46	и на	6	5
47	в то	2	5
48	же как	4	4
49	с этой	2	4
50	что на	2	4
51	тем не	2	4
52	как это	4	4
53	а на	9	4
54	из этого	2	4
55	совершенно не	2	4
56	и по	3	4
57	все же	2	4
58	из них	4	4
59	данном случае	7	4
60	а в	9	4
61	и все	4	4
62	мы имеем	6	4
63	не имеет	3	4
64	и для	2	4
65	в данном	6	4
66	и с	10	4
67	могут быть	2	4
68	с этим	2	4
69	того как	2	4
70	между тем	3	4
71	главным образом	3	3
72	состоит в	15	3
73	для этого	5	3
74	но он	3	3
75	с другой	2	3
76	представление о	5	3
77	показывает что	8	3
78	по существу	4	3
79	об этом	2	3
80	так что	4	3
81	до конца	3	3
82	и другой	3	3
83	что с	2	3
84	только как	2	3
85	в своей	2	3
86	один из	2	3
87	не к	2	3
88	во всех	3	3
89	том чтобы	2	3
90	и ее	2	3
91	в их	2	3
92	на этом	3	3
93	и других	3	3
94	образом в	2	3
95	этот вопрос	2	3
96	жизнь и	2	3
97	тому как	3	3
98	то время	2	3
99	в которых	4	3
100	и то	2	3
101	во всем	2	3
102	или же	5	3
103	та же	2	3
104	тогда когда	4	3
105	но в	5	3
106	мы не	6	3
107	в виду	2	3
108	если она	2	2
109	и многие	2	2
110	с в	8	2
111	в них	4	2
112	что такие	2	2
113	эта теория	4	2
114	это не	5	2
115	и от	3	2
116	с другими	3	2
117	это в	2	2
118	тем и	2	2
119	говорит о	2	2
120	в новой	2	2
121	а к	2	2
122	и при	2	2
123	вывод что	2	2
124	еще не	6	2
125	но не	5	2
126	очевидно что	2	2
127	в день	7	2
128	на другой	2	2
129	в глаза	2	2
130	она не	3	2
131	из которых	2	2
132	должен был	3	2
133	к нему	4	2
134	том же	4	2
135	в него	2	2
136	в ее	3	2
137	в руках	2	2
138	как можно	2	2
139	в этих	3	2
140	для нас	6	2
141	вместе с	6	2
142	так в	2	2
143	т д	5	2
144	а с	2	2
145	не было	2	2
146	после того	2	2
147	здесь мы	2	2
148	в других	15	2
149	отличие от	3	2
150	у них	2	2
151	в таком	4	2
152	принадлежат к	2	2
153	каждый из	2	2
154	их в	4	2
155	моментов в	2	2
156	полагает что	2	2
157	подобно тому	3	2
158	такие же	3	2
159	в свете	3	2
160	там где	2	2
161	когда мы	2	2
162	заметить что	2	2
163	в которой	2	2
164	что по	4	2
