N	2gram	Vinokur_St_1	Narrotol
1	не только	18	31
2	но и	10	27
3	и не	16	23
4	при этом	2	19
5	может быть	15	15
6	в частности	4	14
7	в качестве	4	14
8	в тексте	12	13
9	как и	9	13
10	а не	16	13
11	а в	17	13
12	только в	10	12
13	в этом	21	12
14	и в	44	11
15	в данном	14	11
16	такого рода	2	10
17	своего рода	3	10
18	и его	8	10
19	то что	18	9
20	то есть	2	9
21	то же	5	8
22	в том	36	8
23	данном случае	6	8
24	со стороны	6	8
25	не может	8	8
26	если бы	9	7
27	у него	2	7
28	том что	29	7
29	но в	10	7
30	об этом	3	6
31	а также	2	6
32	не в	12	6
33	в самом	7	6
34	как бы	4	6
35	жизни и	5	6
36	как раз	4	6
37	во втором	4	6
38	в себе	2	6
39	в его	9	6
40	в этой	11	6
41	в своей	6	5
42	так и	9	5
43	тем самым	2	5
44	столь же	4	5
45	потому что	6	5
46	точки зрения	11	5
47	как правило	2	5
48	никогда не	5	4
49	а во	3	4
50	из этих	6	4
51	что на	2	4
52	все же	8	4
53	для него	6	4
54	то в	3	4
55	но не	3	4
56	же время	4	4
57	прежде всего	7	4
58	еще не	3	4
59	к нему	2	4
60	вплоть до	5	4
61	в ней	3	4
62	и тем	3	4
63	в нем	5	4
64	в первом	2	4
65	из них	8	4
66	не по	3	4
67	как в	13	4
68	внимание на	3	4
69	того что	9	4
70	того чтобы	11	4
71	однако и	2	4
72	в то	9	4
73	что у	4	4
74	о том	17	4
75	в сознании	2	4
76	не существует	3	3
77	не менее	5	3
78	что в	30	3
79	в своем	2	3
80	текста в	5	3
81	это не	8	3
82	не всегда	2	3
83	что он	10	3
84	идет о	2	3
85	тем не	2	3
86	у нас	11	3
87	в начале	3	3
88	в целом	5	3
89	самом деле	11	3
90	но именно	2	3
91	для того	10	3
92	но для	2	3
93	он не	2	3
94	речь идет	4	3
95	не является	3	3
96	его жизни	3	3
97	отношению к	3	3
98	по отношению	3	3
99	начиная с	2	3
100	не было	4	3
101	этом отношении	7	3
102	именно в	6	3
103	о них	2	3
104	лишь в	3	3
105	в слове	5	3
106	мы не	2	3
107	и то	5	3
108	также и	9	3
109	их в	2	3
110	и с	3	3
111	как будто	4	3
112	и все	2	3
113	как это	4	3
114	могло бы	2	3
115	мы имеем	2	3
116	между тем	3	3
117	тем или	3	2
118	в этих	2	2
119	а на	3	2
120	в конце	3	2
121	этих двух	3	2
122	в сущности	2	2
123	на то	4	2
124	так называемая	3	2
125	да и	3	2
126	в москве	2	2
127	имеем дело	2	2
128	до сих	7	2
129	она не	2	2
130	или иным	3	2
131	в первой	12	2
132	в случае	2	2
133	всяком случае	6	2
134	если в	2	2
135	не имеет	4	2
136	хотя бы	6	2
137	раз в	2	2
138	времени но	2	2
139	быть и	2	2
140	дело не	4	2
141	сих пор	7	2
142	ли не	2	2
143	и тогда	2	2
144	другой стороны	7	2
145	не могла	2	2
146	и только	3	2
147	если не	2	2
148	в той	6	2
149	что не	3	2
150	тем же	3	2
151	и даже	5	2
152	с другой	9	2
153	и для	3	2
154	в таком	3	2
155	ничего не	2	2
156	дело с	2	2
157	в результате	3	2
158	сказать что	7	2
159	во всяком	6	2
160	что касается	3	2
161	что мы	5	2
162	в равной	2	2
163	дело в	6	2
164	в чем	3	2
165	в области	14	2
