N	2gram	Medvedev_U_1	Morfolog
1	может быть	6	52
2	таким образом	2	20
3	не может	7	17
4	могут быть	2	15
5	и в	14	13
6	в этом	7	13
7	прежде всего	8	9
8	то же	5	9
9	и не	8	9
10	а не	10	9
11	с другой	4	8
12	по существу	2	8
13	что и	2	8
14	все же	3	7
15	это не	3	6
16	не могут	2	6
17	в том	2	6
18	но не	2	6
19	не все	2	5
20	то что	7	5
21	мы не	2	5
22	было бы	3	4
23	не только	10	4
24	в некоторых	2	4
25	другой стороны	3	4
26	как и	3	4
27	тем что	2	4
28	ничего не	2	4
29	если бы	2	3
30	это уже	2	3
31	том что	2	3
32	но это	2	3
33	но и	4	3
34	самом деле	2	3
35	и для	2	3
36	в то	3	3
37	но в	3	3
38	в частности	3	2
39	его и	2	2
40	хотя бы	5	2
41	что он	2	2
42	на первый	2	2
43	только в	2	2
44	для него	3	2
45	вопроса о	2	2
46	и только	5	2
47	что такое	4	2
48	является в	2	2
49	мы получаем	2	2
50	что мы	2	2
51	это было	2	2
