N	2gram	Bakhtin_Pr_1	KFilosof
1	может быть	21	43
2	в его	24	39
3	в нем	20	31
4	не может	11	27
5	и не	34	26
6	по отношению	11	25
7	и в	23	22
8	в котором	2	21
9	отношению к	11	21
10	в себе	5	21
11	а не	20	17
12	и его	13	17
13	только в	8	16
14	точки зрения	21	13
15	в этом	25	13
16	ни в	3	12
17	для него	15	12
18	но не	8	12
19	и это	5	12
20	все эти	8	11
21	в своей	11	11
22	не в	6	11
23	к нему	3	11
24	в едином	4	10
25	в своем	8	10
26	это не	10	10
27	все это	7	10
28	во всех	5	10
29	с точки	15	10
30	и есть	5	9
31	в целом	4	9
32	но и	11	9
33	в их	3	9
34	как бы	28	9
35	и все	3	9
36	его целом	5	9
37	и для	3	9
38	не было	3	8
39	лишь в	3	8
40	мир в	2	8
41	если бы	10	8
42	было бы	6	8
43	жизни и	6	8
44	момент его	2	8
45	со стороны	2	8
46	и здесь	3	7
47	в единстве	7	7
48	вовсе не	8	7
49	что и	5	7
50	то что	18	7
51	себя в	3	7
52	в себя	3	7
53	я не	3	6
54	в смысле	2	6
55	в том	11	6
56	но это	5	6
57	смысл и	2	6
58	в мире	7	6
59	и их	2	6
60	он не	4	6
61	не значит	2	6
62	уже не	8	6
63	менее всего	4	6
64	мира в	6	6
65	никогда не	5	5
66	хотя бы	2	5
67	но эта	4	5
68	то же	10	5
69	его как	5	5
70	но все	4	5
71	именно в	6	5
72	в основе	5	5
73	но как	3	5
74	его в	4	5
75	с ним	6	5
76	но в	4	5
77	как и	8	5
78	не только	13	5
79	для себя	2	5
80	все же	5	5
81	там где	6	5
82	что в	8	4
83	входит в	2	4
84	ни было	4	4
85	для нас	3	4
86	здесь мы	2	4
87	при этом	3	4
88	в своих	2	4
89	между тем	5	4
90	в одном	9	4
91	нисколько не	2	4
92	не как	12	4
93	мира и	7	4
94	том что	9	4
95	о нем	11	4
96	мира но	2	4
97	во всей	2	4
98	а в	7	4
99	бы и	4	3
100	должна быть	2	3
101	в каждом	8	3
102	из его	3	3
103	лишь как	5	3
104	не дает	3	3
105	до конца	5	3
106	этого мира	4	3
107	себе и	3	3
108	был бы	5	3
109	и тем	2	3
110	от того	2	3
111	того что	2	3
112	рядом с	13	3
113	и на	10	3
114	в то	10	3
115	о том	2	3
116	мы не	2	3
117	всех этих	3	3
118	сознания и	3	3
119	этом смысле	9	3
120	но конечно	2	3
121	мира не	2	3
122	еще не	5	3
123	ним и	4	3
124	в единство	5	3
125	на самом	4	3
126	самом деле	5	3
127	для того	2	3
128	только с	2	3
129	тем как	4	3
130	тем что	3	3
131	и этим	2	3
132	ничего не	6	3
133	сознания в	2	2
134	то ни	3	2
135	прежде всего	7	2
136	вопрос о	4	2
137	его к	4	2
138	и как	8	2
139	же время	7	2
140	и само	2	2
141	единство мира	3	2
142	он может	3	2
143	но для	2	2
144	себя и	2	2
145	по себе	7	2
146	тому что	2	2
147	и других	5	2
148	именно на	2	2
149	не из	2	2
150	потому что	12	2
151	он и	5	2
152	к себе	2	2
153	говорить о	2	2
154	себя как	5	2
155	в сознании	2	2
156	были бы	4	2
157	а как	6	2
158	с его	6	2
159	раз и	3	2
160	в жизни	6	2
161	к этому	2	2
162	что он	10	2
163	бы то	3	2
164	тот же	2	2
165	кажется что	3	2
166	как предмет	3	2
167	и потому	3	2
168	этого слова	2	2
169	оно не	2	2
170	сознания не	3	2
171	в процессе	4	2
172	так и	10	2
173	как в	6	2
174	это и	9	2
175	того чтобы	4	2
176	в данном	2	2
177	человек и	2	2
178	всей его	2	2
179	этот мир	3	2
180	в этой	4	2
181	отношении к	2	2
182	видения и	8	2
183	его на	2	2
184	или как	5	2
185	автора как	3	2
186	не потому	2	2
187	в области	3	2
188	и навсегда	2	2
